pressure(Pa) loading(mol/kg) HoA(kJ/mol)
1.00e+03 1.44834 43.04166
5.00e+03 1.61750 48.05129
7.00e+03 1.58849 49.60433
1.00e+04 1.62992 35.23137
1.50e+04 1.63409 39.28668
2.00e+04 1.63876 55.34075
3.00e+04 1.64468 62.59637
4.00e+04 1.64382 55.33859
6.00e+04 1.64158 51.37006
8.00e+04 1.64822 31.54749
1.00e+05 1.64845 28.43154
2.00e+05 1.65020 12.54804
3.00e+05 1.64943 -37.29149
4.00e+05 1.64296 54.68502
5.00e+05 1.64942 inf
6.00e+05 1.64946 28.64269
7.00e+05 1.64346 35.96101
8.00e+05 1.64963 -1.72265
1.00e+06 1.67672 26.54955
1.20e+06 1.64892 57.05082
1.40e+06 1.66485 25.69381
1.60e+06 1.66171 25.28603
1.80e+06 1.65350 31.32865
2.00e+06 1.67212 32.60821
2.50e+06 1.69829 33.89971
3.00e+06 1.64947 14.26729
3.50e+06 1.77587 23.04298
