pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.9175508265 27.47832
33300.0 1.498164736 25.22346
50000.0 1.9759440068 25.15255
66700.0 2.3175790049 25.21162
83300.0 2.6086450904 25.56684
100000.0 2.9394441367 25.48677
117000.0 3.1848122565 25.50364
133000.0 3.4126856821 25.94267
150000.0 3.5938523795 26.1327
167000.0 3.7926422831 26.25341
183000.0 3.9276970469 26.60729
200000.0 4.1228965749 26.81835
217000.0 4.2400858928 26.76316
233000.0 4.3971867236 27.04091
250000.0 4.4693445188 27.16635
267000.0 4.6303894177 27.10216
283000.0 4.7016180596 27.68191
300000.0 4.7984319668 27.48325
317000.0 4.9315943057 27.69608
333000.0 4.9968408835 27.8724
350000.0 5.0451284233 27.88892
367000.0 5.1347695401 28.09083
383000.0 5.2047494545 28.0908
400000.0 5.3067481964 28.26543
600000.0 5.9630420404 29.42965
857000.0 6.4743584002 29.29969
1110000.0 6.838348804 30.1162
1370000.0 7.1806161267 29.80399
1630000.0 7.4829105238 30.57889
1880000.0 7.5996870111 30.49684
2140000.0 7.832860136 30.1387
2400000.0 7.9190007217 30.52934
2650000.0 8.1034939471 30.43703
2910000.0 8.2256474685 30.2217
3170000.0 8.3084763107 30.4248
3420000.0 8.4442475574 30.72663
3680000.0 8.526237091 30.95427
3930000.0 8.5712606529 30.50669
4190000.0 8.7138964887 30.77709
4450000.0 8.748118217 30.72104
4700000.0 8.772968803 30.33927
4960000.0 8.9013636871 31.41553
5220000.0 9.0141608508 31.08281
5470000.0 9.0502727293 31.4289
5730000.0 9.0236764269 31.10785
5990000.0 9.1161937109 30.97504
6240000.0 9.2139754388 30.36573
6500000.0 9.2288839708 30.38837
