pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0358582663 13.10456
33300.0 0.069066683 13.10233
50000.0 0.1027300094 13.10724
66700.0 0.137507865 13.13348
83300.0 0.1694311614 13.15572
100000.0 0.2024803596 13.19082
117000.0 0.2290698384 13.17024
133000.0 0.2638135757 13.17731
150000.0 0.2895273531 13.18284
167000.0 0.3242028539 13.22019
183000.0 0.3502009499 13.17796
200000.0 0.3790194868 13.21602
217000.0 0.4073262502 13.21936
233000.0 0.4279791559 13.22146
250000.0 0.4623021016 13.20776
267000.0 0.4816926325 13.28021
283000.0 0.5105339149 13.20048
300000.0 0.5352013998 13.19934
317000.0 0.5671019507 13.24635
333000.0 0.5855485438 13.29182
350000.0 0.6022778523 13.28242
367000.0 0.6253645255 13.284
383000.0 0.6496794552 13.28033
400000.0 0.6759391244 13.27112
600000.0 0.9093078606 13.33166
857000.0 1.163261266 13.46074
1110000.0 1.3574167759 13.47843
1370000.0 1.530475843 13.52125
1630000.0 1.6729308523 13.60658
1880000.0 1.7907866131 13.54618
2140000.0 1.8959048991 13.47787
2400000.0 1.98932063 13.6896
2650000.0 2.0704310504 13.50472
2910000.0 2.1708865108 13.78731
3170000.0 2.241238314 13.80014
3420000.0 2.3039021413 13.67275
3680000.0 2.341978093 13.62652
3930000.0 2.4155028921 13.77313
4190000.0 2.4755737335 13.81398
4450000.0 2.5284683725 13.82531
4700000.0 2.5422293944 13.8171
4960000.0 2.6348604059 13.90787
5220000.0 2.688733101 13.89152
5470000.0 2.7087150147 13.89727
5730000.0 2.7599264874 13.80592
5990000.0 2.7679556457 13.69769
6240000.0 2.8120477797 13.74193
6500000.0 2.8571179698 13.95771
6750000.0 2.9011077491 13.83229
7000000.0 2.9458140114 13.98301
7250000.0 2.9679567467 13.89059
7500000.0 2.9723011355 13.81024
7750000.0 3.0022910652 13.92706
8000000.0 3.0272883596 13.95082
8500000.0 3.0920447721 13.91358
9000000.0 3.1297909141 13.89141
9500000.0 3.2103099518 14.00809
10000000.0 3.2381390598 13.87738
10500000.0 3.2889752319 13.86634
11000000.0 3.3166110033 13.76817
12000000.0 3.425539159 13.96594
13000000.0 3.4667539884 13.91972
14000000.0 3.5478302905 13.92513
15000000.0 3.6172495286 14.0236
