pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 3.1289999132 30.65861
33300.0 4.4414084798 30.37801
50000.0 5.3026743544 29.74984
66700.0 5.9706589681 29.36845
83300.0 6.4737328477 28.9932
100000.0 6.9384544624 28.65533
117000.0 7.3251027871 28.53768
133000.0 7.6764640537 28.5604
150000.0 7.9849124268 28.97802
167000.0 8.3008648769 28.36194
183000.0 8.5580979039 29.11836
200000.0 8.8065112093 29.04124
217000.0 9.0127789443 29.25125
233000.0 9.1980143441 29.21194
250000.0 9.4237666934 29.50113
267000.0 9.6106437888 29.74628
283000.0 9.7370151262 29.80554
300000.0 9.8980369459 29.82145
317000.0 10.0181266934 30.08621
333000.0 10.1594653264 30.24395
350000.0 10.2537790637 30.10129
367000.0 10.3920786394 30.37953
383000.0 10.4433789713 30.54028
400000.0 10.6504328244 30.51038
600000.0 11.4819594117 31.37687
857000.0 12.2096661169 32.50465
1110000.0 12.6314830099 32.86829
1370000.0 13.0316301746 31.70591
1630000.0 13.2899443182 32.37984
1880000.0 13.4276571655 31.90195
2140000.0 13.609776694 32.17625
2400000.0 13.7554046551 32.79681
2650000.0 13.9106074034 32.94038
2910000.0 14.0184812686 32.323
3170000.0 14.1073305866 32.86748
3420000.0 14.2057571432 31.95966
3680000.0 14.3084844684 32.729
3930000.0 14.3229001738 32.14763
4190000.0 14.4250513937 32.72869
4450000.0 14.5153887793 31.41366
4700000.0 14.5263674654 32.18453
4960000.0 14.6718679479 32.70704
5220000.0 14.6586167105 32.87675
5470000.0 14.7128032887 32.65153
5730000.0 14.7565693082 32.59469
5990000.0 14.7395174107 32.00957
6240000.0 14.7995925198 33.93881
6500000.0 14.8509843747 32.66681
