pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.125746202 17.66687
33300.0 0.2536088756 17.53189
50000.0 0.3672200952 17.54606
66700.0 0.4912175522 17.37011
83300.0 0.6006203435 17.4568
100000.0 0.696065862 17.5464
117000.0 0.7971662007 17.29499
133000.0 0.8893185219 17.50968
150000.0 0.9983535865 17.40412
167000.0 1.0880952547 17.38317
183000.0 1.1608969777 17.49133
200000.0 1.2466345102 17.47679
217000.0 1.3405519199 17.17467
233000.0 1.396266607 17.12935
250000.0 1.5136940129 17.09816
267000.0 1.5783322022 17.2653
283000.0 1.633556587 17.12265
300000.0 1.6889444059 17.18624
317000.0 1.7715113168 17.30798
333000.0 1.8222984656 17.1996
350000.0 1.9101442981 16.98774
367000.0 2.0052302616 17.21323
383000.0 2.0263050897 17.0496
400000.0 2.0863834675 17.21953
600000.0 2.7197641777 17.01722
857000.0 3.405116934 16.7993
1110000.0 3.9533157877 16.81258
1370000.0 4.4194053459 16.51274
1630000.0 4.8014407429 16.61297
1880000.0 5.0967661744 16.48868
2140000.0 5.4453792965 16.48623
2400000.0 5.6638743542 16.5786
2650000.0 5.8571351859 16.2416
2910000.0 6.093730571 16.33578
3170000.0 6.270615305 16.22122
3420000.0 6.4446808008 16.48507
3680000.0 6.6509101288 16.3052
3930000.0 6.7794919125 16.45005
4190000.0 6.8904064693 16.37031
4450000.0 7.065248277 16.22484
4700000.0 7.1107238173 16.24023
4960000.0 7.3009202594 16.31291
5220000.0 7.4184048673 16.30061
5470000.0 7.4726077889 16.26522
5730000.0 7.6023336114 16.37676
5990000.0 7.7144657523 16.28997
6240000.0 7.7982339038 16.19913
6500000.0 7.8952238747 16.37578
6750000.0 7.941557444 16.22458
7000000.0 8.0416118044 16.04202
7250000.0 8.1216863452 16.29855
7500000.0 8.2041225088 16.02859
7750000.0 8.2482578894 16.04569
8000000.0 8.2969775967 16.25073
8500000.0 8.4607058852 16.31389
9000000.0 8.5777982512 16.08373
9500000.0 8.6843327739 15.95212
10000000.0 8.7817885319 16.08869
10500000.0 8.9021005498 16.22366
11000000.0 8.9871680026 15.71089
12000000.0 9.1910765663 16.06129
13000000.0 9.317190495 16.38751
14000000.0 9.4891068322 15.77031
15000000.0 9.6094351935 15.9244
