pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.9945608168 25.63584
33300.0 1.7271865396 24.04569
50000.0 2.309048138 23.10163
66700.0 2.8095700794 22.15689
83300.0 3.238002278 20.6523
100000.0 3.6554794902 20.802
117000.0 4.0899153301 20.41096
133000.0 4.4838885505 19.81601
150000.0 4.8787014409 19.68441
167000.0 5.2593821415 19.46109
183000.0 5.6353281861 19.25157
200000.0 5.9598132868 19.07874
217000.0 6.3458137039 18.9199
233000.0 6.696733516 18.93389
250000.0 7.0411391131 18.87194
267000.0 7.4187279316 18.522
283000.0 7.6681668381 18.56808
300000.0 7.9834060873 18.20211
317000.0 8.397710159 18.44698
333000.0 8.6261722099 18.36689
350000.0 8.9684380026 18.0
367000.0 9.3299308866 18.02897
383000.0 9.6039640018 18.06958
400000.0 9.8732204775 17.86922
600000.0 13.3152625947 17.29362
857000.0 17.3447040702 16.73005
1110000.0 21.1189196868 16.15455
1370000.0 25.0177653725 15.70788
1630000.0 29.133222926 15.69217
1880000.0 33.9513489393 15.81524
2140000.0 39.9304638044 16.79242
2400000.0 46.2781762461 18.40386
2650000.0 50.9617004306 20.17152
2910000.0 53.7938671163 21.52592
3170000.0 55.8885109064 22.73971
3420000.0 57.5180857946 23.48595
3680000.0 58.7072509961 24.11375
3930000.0 59.7679683382 24.77762
4190000.0 60.5973633337 25.10099
4450000.0 61.3910330743 25.43132
4700000.0 62.0458769035 26.09022
4960000.0 62.671077669 26.25559
5220000.0 63.1557691199 26.63792
5470000.0 63.7134238414 26.50305
5730000.0 64.0894755219 26.855
5990000.0 64.6615211058 27.10772
6240000.0 64.927993127 27.03298
6500000.0 65.2424103121 27.63148
