pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0786987592 9.24281
33300.0 0.1550410247 9.11746
50000.0 0.2336449824 9.19132
66700.0 0.3113686408 9.15877
83300.0 0.3889433255 9.19292
100000.0 0.4614935324 9.18858
117000.0 0.5380795732 9.24428
133000.0 0.6211662859 9.24647
150000.0 0.6870803903 9.16217
167000.0 0.7708713425 9.14337
183000.0 0.8293096742 9.02605
200000.0 0.9165947375 9.11345
217000.0 0.9814795689 9.03529
233000.0 1.0769988166 9.0187
250000.0 1.1488041549 9.15695
267000.0 1.2082175874 8.95641
283000.0 1.2767319606 9.13923
300000.0 1.3484560405 8.96899
317000.0 1.4249879091 9.09687
333000.0 1.4864328016 9.11275
350000.0 1.5741918722 9.08747
367000.0 1.6252492327 9.09076
383000.0 1.7152022801 9.06636
400000.0 1.7348126403 9.06557
600000.0 2.5721262668 8.91307
857000.0 3.5026161905 8.72308
1110000.0 4.4352730048 8.84019
1370000.0 5.3893414072 8.6507
1630000.0 6.2674196637 8.61075
1880000.0 7.0412433947 8.63267
2140000.0 7.8219740895 8.48877
2400000.0 8.6310910517 8.37709
2650000.0 9.4434312636 8.4311
2910000.0 10.0785062788 8.26768
3170000.0 10.7395975246 8.14362
3420000.0 11.3803335416 8.25886
3680000.0 12.0608320016 8.23384
3930000.0 12.636046663 8.13543
4190000.0 13.221161306 8.12302
4450000.0 13.901835826 8.25473
4700000.0 14.4348638354 8.10964
4960000.0 15.0001649722 8.18278
5220000.0 15.6020323884 8.16286
5470000.0 16.1302932385 8.0547
5730000.0 16.5849881515 8.04061
5990000.0 17.1126260205 8.19575
6240000.0 17.5985512448 8.01296
6500000.0 18.0645817045 7.98451
6750000.0 18.4795548037 7.84792
7000000.0 18.9840882013 7.9404
7250000.0 19.476405753 7.97396
7500000.0 19.8978388949 8.01208
7750000.0 20.273049551 7.95435
8000000.0 20.7663422034 8.10318
8500000.0 21.4848018787 7.90354
9000000.0 22.2751075216 7.97023
9500000.0 23.1134097919 7.89871
10000000.0 23.7702078857 8.04375
10500000.0 24.4195437498 7.98468
11000000.0 25.1086556001 7.86001
12000000.0 26.4477533817 8.08821
13000000.0 27.6068502672 8.10797
14000000.0 28.7276609037 8.12664
15000000.0 29.8523042281 8.19095
