pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.2367737225 16.03742
33300.0 0.4696273311 15.81625
50000.0 0.7030976734 15.66013
66700.0 0.9255843732 15.40463
83300.0 1.1646361559 15.38635
100000.0 1.3898885211 15.11812
117000.0 1.6408721746 15.20201
133000.0 1.8568060783 15.16179
150000.0 2.0722041945 14.82314
167000.0 2.2856075625 14.67188
183000.0 2.5273074458 14.6628
200000.0 2.7383190432 14.60993
217000.0 2.9665953311 14.61327
233000.0 3.1861332726 14.61314
250000.0 3.4166799115 14.59477
267000.0 3.6238639051 14.58618
283000.0 3.8234543644 14.58226
300000.0 4.0165440646 14.33813
317000.0 4.2550003138 14.24072
333000.0 4.4889254973 14.31765
350000.0 4.7059521761 14.35554
367000.0 4.8883955099 14.25802
383000.0 5.1534888752 14.33282
400000.0 5.3615786965 14.06786
600000.0 8.3380244219 14.13444
857000.0 12.6000362276 14.13217
1110000.0 17.319180724 14.23726
1370000.0 23.0778010441 14.65661
1630000.0 30.378471592 15.25492
1880000.0 40.0488933859 16.10833
2140000.0 52.5443065149 18.09806
2400000.0 61.6651183198 20.262
2650000.0 66.7093239021 21.80803
2910000.0 70.0580493909 23.06444
3170000.0 72.5381632139 23.95292
3420000.0 74.2874860909 24.62084
3680000.0 75.8712410112 25.13354
3930000.0 77.0975389783 25.61262
4190000.0 78.1866676505 26.03551
4450000.0 79.2152195775 26.3579
4700000.0 79.9976427021 26.66483
4960000.0 80.7255735453 26.65438
5220000.0 81.361821135 26.89827
5470000.0 82.1020114888 27.07324
5730000.0 82.6898628249 27.74534
5990000.0 83.1801989189 27.68413
6240000.0 83.6338856099 28.09024
6500000.0 84.1000033405 28.31546
