pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0540605676 6.14426
33300.0 0.1098749719 6.1377
50000.0 0.1588282131 6.15146
66700.0 0.2127538703 6.12544
83300.0 0.2663904335 6.0431
100000.0 0.3177527909 6.1678
117000.0 0.3775952375 6.04944
133000.0 0.4223469801 6.09486
150000.0 0.4735744271 6.11436
167000.0 0.5324146813 6.1167
183000.0 0.5815799248 6.10056
200000.0 0.6349852128 6.13338
217000.0 0.7025368312 6.17976
233000.0 0.7525500836 6.10676
250000.0 0.7961647234 6.19896
267000.0 0.8595919348 6.24535
283000.0 0.904189494 6.1719
300000.0 0.9676745242 6.13193
317000.0 1.0142764681 6.16215
333000.0 1.0716327067 6.07012
350000.0 1.1282758469 6.16818
367000.0 1.1661086078 6.15979
383000.0 1.2349515124 6.13167
400000.0 1.2637067235 6.12394
600000.0 1.9022767012 6.14743
857000.0 2.682984535 6.16243
1110000.0 3.4252621471 6.1831
1370000.0 4.2258596442 6.28542
1630000.0 4.9228651446 6.28289
1880000.0 5.6102149072 6.32311
2140000.0 6.4235518109 6.206
2400000.0 7.1766415365 6.3564
2650000.0 7.8701586366 6.30742
2910000.0 8.5832763062 6.35371
3170000.0 9.328907408 6.38401
3420000.0 9.9864226756 6.36059
3680000.0 10.7182158139 6.35131
3930000.0 11.4207526451 6.56844
4190000.0 12.0295844924 6.42779
4450000.0 12.7609921722 6.48727
4700000.0 13.4252529651 6.36708
4960000.0 14.1418975808 6.517
5220000.0 14.7260600781 6.64444
5470000.0 15.3328875407 6.47925
5730000.0 16.0495321564 6.63357
5990000.0 16.5820239293 6.70574
6240000.0 17.1813156764 6.66509
6500000.0 17.8083797152 6.64731
6750000.0 18.3926385771 6.60607
7000000.0 18.9824673158 6.72237
7250000.0 19.5349258439 6.77429
7500000.0 20.1057900198 6.71152
7750000.0 20.6823589828 6.68937
8000000.0 21.0805569821 6.79216
8500000.0 22.1697858735 6.88185
9000000.0 23.2527317899 6.87802
9500000.0 24.2194812135 6.84418
10000000.0 25.2064864861 6.84877
10500000.0 26.130160912 6.95737
11000000.0 26.9204473918 7.04387
12000000.0 28.7231794114 7.17653
13000000.0 30.3468659146 7.14898
14000000.0 31.9622265123 7.20021
15000000.0 33.4220352948 7.28594
