pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 1.1944830121 26.92246
33300.0 1.7086875403 22.2907
50000.0 2.0948387139 20.24266
66700.0 2.4336974992 18.83357
83300.0 2.7347251907 18.17565
100000.0 3.0203541098 17.79786
117000.0 3.31473367 17.41874
133000.0 3.5876886285 17.23449
150000.0 3.9019946562 17.15717
167000.0 4.193193562 16.96013
183000.0 4.4655146944 16.94007
200000.0 4.7576841863 16.85418
217000.0 5.0691399174 16.83953
233000.0 5.3243746353 16.87689
250000.0 5.6105605531 16.76328
267000.0 5.9066994609 16.77699
283000.0 6.1806416515 16.7216
300000.0 6.4946390891 16.68499
317000.0 6.7624773425 16.69808
333000.0 7.0422584157 16.75602
350000.0 7.3264301751 16.69756
367000.0 7.6329369409 16.66488
383000.0 7.9181881252 16.79865
400000.0 8.2105548075 16.7286
600000.0 11.8295237132 17.05005
857000.0 17.0109263928 18.35193
1110000.0 22.0263217004 20.1162
1370000.0 25.7676664155 21.85178
1630000.0 28.2456677171 23.27521
1880000.0 29.878556061 24.23907
2140000.0 31.1352743914 25.04761
2400000.0 32.1565833152 25.89727
2650000.0 32.9745019331 26.19525
2910000.0 33.5379003279 26.38232
3170000.0 34.2253813809 26.88814
3420000.0 34.6652016174 27.20115
3680000.0 35.1004813544 27.29228
3930000.0 35.5619310658 27.46598
4190000.0 35.9549979862 28.13251
4450000.0 36.2843609044 28.22776
4700000.0 36.5186998492 28.26065
4960000.0 36.7923065601 28.33235
5220000.0 37.0534889995 28.63661
5470000.0 37.2811157902 28.36834
5730000.0 37.6060124754 28.72564
5990000.0 37.8014601083 28.81845
6240000.0 37.9106049585 28.70204
6500000.0 38.2068027673 28.48746
