pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0527164031 9.10271
33300.0 0.1057401157 9.05583
50000.0 0.154691976 9.05316
66700.0 0.2087400541 9.0326
83300.0 0.2612643886 9.00426
100000.0 0.3107028225 8.99947
117000.0 0.3606662436 9.03336
133000.0 0.412780832 9.05301
150000.0 0.4611308777 8.97895
167000.0 0.5199550593 9.01688
183000.0 0.5667173386 8.99258
200000.0 0.6238129036 8.98806
217000.0 0.6671691681 8.98717
233000.0 0.7164027289 9.04492
250000.0 0.769234373 8.97899
267000.0 0.8149082641 8.99813
283000.0 0.8765238414 9.00958
300000.0 0.9157442306 9.01536
317000.0 0.9641070809 9.04214
333000.0 1.0041213533 9.04757
350000.0 1.0644820829 8.99409
367000.0 1.1146759863 9.0614
383000.0 1.1562652205 9.05043
400000.0 1.2051018397 9.06812
600000.0 1.7843164358 8.98717
857000.0 2.4677602088 9.11838
1110000.0 3.0639280519 9.05591
1370000.0 3.6895976177 9.15192
1630000.0 4.2697085336 9.04583
1880000.0 4.8885148515 9.07538
2140000.0 5.4439257572 9.24596
2400000.0 5.9912441766 9.08189
2650000.0 6.456818239 9.13633
2910000.0 6.9688216621 9.13357
3170000.0 7.521300322 9.12122
3420000.0 7.9399840595 9.20454
3680000.0 8.3866713854 9.16251
3930000.0 8.8240625955 9.22515
4190000.0 9.2794698316 9.2456
4450000.0 9.6806241166 9.19219
4700000.0 10.0204573295 9.33823
4960000.0 10.3998694594 9.29826
5220000.0 10.7087924471 9.27544
5470000.0 11.0816742478 9.36858
5730000.0 11.4254512673 9.33463
5990000.0 11.7678581981 9.38017
6240000.0 12.0438606436 9.40768
6500000.0 12.3919656068 9.40781
6750000.0 12.6471606306 9.44696
7000000.0 12.9100640038 9.42439
7250000.0 13.2261959628 9.44848
7500000.0 13.4724533987 9.57848
7750000.0 13.7033965723 9.48701
8000000.0 14.0011539774 9.59061
8500000.0 14.4173408242 9.58082
9000000.0 14.869149977 9.61079
9500000.0 15.3499870836 9.79391
10000000.0 15.7265694042 9.69186
10500000.0 16.1580577088 9.76501
11000000.0 16.4915910746 9.67539
12000000.0 17.1187331657 9.78852
13000000.0 17.8022665706 9.89409
14000000.0 18.2593512051 9.98622
15000000.0 18.9250478479 10.00572
