pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 1.1712047794 25.30418
33300.0 1.7969363327 24.14873
50000.0 2.3397060405 23.60243
66700.0 2.7774547123 23.25289
83300.0 3.1916693972 23.09543
100000.0 3.557712901 22.56069
117000.0 3.920218875 22.31029
133000.0 4.2594220732 22.27239
150000.0 4.5989985121 21.94313
167000.0 4.9302414424 21.72478
183000.0 5.2099754942 21.64716
200000.0 5.5425231158 21.61657
217000.0 5.8307178423 21.26085
233000.0 6.1263460058 21.13208
250000.0 6.3877136388 21.07719
267000.0 6.6482010181 20.87232
283000.0 6.9193521836 20.75416
300000.0 7.1493213493 20.6521
317000.0 7.4352584646 20.5847
333000.0 7.6498339256 20.48721
350000.0 7.8866139096 20.27947
367000.0 8.1346439652 20.27033
383000.0 8.3417843378 20.26081
400000.0 8.5827195156 20.17309
600000.0 11.2964359338 19.91382
857000.0 14.6581132011 20.58366
1110000.0 17.499408601 21.70494
1370000.0 19.6539360203 23.24426
1630000.0 21.0205472091 24.87932
1880000.0 22.0054734631 25.72325
2140000.0 22.7284276323 26.75321
2400000.0 23.2466790545 27.23174
2650000.0 23.7351009418 27.76653
2910000.0 24.0820612723 27.94383
3170000.0 24.4674406301 28.69002
3420000.0 24.6374996968 28.94358
3680000.0 24.928343442 29.07711
3930000.0 25.1687451828 29.40308
4190000.0 25.3343352693 29.02111
4450000.0 25.5046668349 29.06441
4700000.0 25.7144132869 29.60424
4960000.0 25.8737094769 30.06681
5220000.0 26.033847936 30.1375
5470000.0 26.1193299825 29.99605
5730000.0 26.3110122416 29.89997
5990000.0 26.3850691568 30.25386
6240000.0 26.5033270282 30.42156
6500000.0 26.6153207303 30.57586
