pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0989253205 14.88567
33300.0 0.1867690232 14.74337
50000.0 0.2778661965 14.62756
66700.0 0.3652309619 14.46233
83300.0 0.4408204764 14.18659
100000.0 0.5312075013 14.20371
117000.0 0.6016112811 13.97205
133000.0 0.6861024229 13.93301
150000.0 0.7510727419 13.88337
167000.0 0.8211462202 13.79573
183000.0 0.8932675681 13.64377
200000.0 0.9520282176 13.67025
217000.0 1.0211603364 13.41849
233000.0 1.0813412826 13.35914
250000.0 1.1560059527 13.14576
267000.0 1.2158070521 13.18688
283000.0 1.2597867062 13.19741
300000.0 1.3321722955 13.25635
317000.0 1.3910155203 13.26141
333000.0 1.4340703301 13.02313
350000.0 1.5103204477 12.95059
367000.0 1.5629044578 12.90799
383000.0 1.6211531398 12.74677
400000.0 1.6808551487 12.81483
600000.0 2.2503776322 12.45749
857000.0 2.9536227066 12.35532
1110000.0 3.5686772617 11.61338
1370000.0 4.1197689175 11.70152
1630000.0 4.6504479363 11.57595
1880000.0 5.1425147014 11.66173
2140000.0 5.5618655757 11.59005
2400000.0 6.0424543613 11.51781
2650000.0 6.4221855622 11.31657
2910000.0 6.8531795669 11.45991
3170000.0 7.2085345119 11.36282
3420000.0 7.574227896 11.40599
3680000.0 7.9258669483 11.18968
3930000.0 8.2054176828 11.22174
4190000.0 8.5691457726 11.2913
4450000.0 8.8515701307 11.24238
4700000.0 9.1339944888 11.09464
4960000.0 9.3697307199 11.25724
5220000.0 9.7273152005 11.06548
5470000.0 9.9256612938 11.02872
5730000.0 10.1597955623 10.95042
5990000.0 10.4217081928 10.92939
6240000.0 10.574191913 11.08466
6500000.0 10.807170126 10.8316
6750000.0 11.0015030552 11.04148
7000000.0 11.1797833281 11.14406
7250000.0 11.3918534516 10.97437
7500000.0 11.5877718283 10.99306
7750000.0 11.7908082039 11.20777
8000000.0 11.9627962319 10.9304
8500000.0 12.3067227425 11.0119
9000000.0 12.5845228786 10.87074
9500000.0 12.9235278958 11.20121
10000000.0 13.1505937107 11.01651
10500000.0 13.4521590449 11.15277
11000000.0 13.6804965208 11.10971
12000000.0 14.2350563431 11.07526
13000000.0 14.6597581029 11.19407
14000000.0 15.0945175455 11.1983
15000000.0 15.4564289766 11.18629
