pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 1.1311013346 24.6087
33300.0 2.1892924746 24.98017
50000.0 3.2684059386 25.35392
66700.0 4.306280766 25.63922
83300.0 5.2961400355 26.18381
100000.0 6.1891290222 26.39851
117000.0 7.0450973654 26.8253
133000.0 7.7998232807 27.18498
150000.0 8.4293688393 27.36796
167000.0 9.0453538109 27.98447
183000.0 9.5228454459 28.12893
200000.0 9.988580076 28.36854
217000.0 10.3870869515 28.82215
233000.0 10.7050993382 29.10919
250000.0 11.0263701197 29.14552
267000.0 11.3401481348 29.60612
283000.0 11.5506710707 29.71193
300000.0 11.8190868747 29.78028
317000.0 12.0250680979 30.15621
333000.0 12.2036400747 30.10755
350000.0 12.3576729288 30.6551
367000.0 12.5435526891 30.36797
383000.0 12.6676809562 30.74453
400000.0 12.8097265403 30.70022
600000.0 14.0237194323 31.5934
857000.0 14.7740568236 32.08395
1110000.0 15.381673251 33.26573
1370000.0 15.7085368714 32.83792
1630000.0 16.0391936023 33.61821
1880000.0 16.3045359944 33.79233
2140000.0 16.4283289801 33.51567
2400000.0 16.6480721518 33.12445
2650000.0 16.7966403061 34.16192
2910000.0 16.9154050357 34.25489
3170000.0 17.0011137268 32.69127
3420000.0 17.137606937 34.10894
3680000.0 17.2045764864 33.57959
3930000.0 17.3138781904 32.78774
4190000.0 17.36639885 33.93534
4450000.0 17.4522722914 34.21765
4700000.0 17.5198555598 32.95569
4960000.0 17.6009907442 33.80197
5220000.0 17.6591032793 35.27896
5470000.0 17.7631002165 34.43467
5730000.0 17.7889920259 34.35637
5990000.0 17.8593182421 33.60817
6240000.0 17.8774359572 33.72232
6500000.0 17.8455948316 32.70632
