pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0706981087 13.17
33300.0 0.1408085117 13.15427
50000.0 0.2060534821 13.22456
66700.0 0.276828667 13.18706
83300.0 0.3429889167 13.28423
100000.0 0.4084265774 13.28129
117000.0 0.4757044315 13.21898
133000.0 0.5369221724 13.25582
150000.0 0.5928794654 13.20158
167000.0 0.6727978099 13.28347
183000.0 0.7360291655 13.22775
200000.0 0.7903967626 13.24502
217000.0 0.8734752297 13.32813
233000.0 0.9122830768 13.29015
250000.0 0.9853127394 13.31415
267000.0 1.0446228453 13.33983
283000.0 1.1005223311 13.28597
300000.0 1.1309577802 13.23224
317000.0 1.2207515079 13.23871
333000.0 1.2682015195 13.26474
350000.0 1.329188032 13.42411
367000.0 1.3840951622 13.38029
383000.0 1.4332793875 13.45016
400000.0 1.4569128654 13.25654
600000.0 2.0670284872 13.38316
857000.0 2.7609740688 13.4828
1110000.0 3.4047045314 13.54446
1370000.0 3.9850783897 13.83825
1630000.0 4.4658024062 13.77061
1880000.0 4.933269323 14.0055
2140000.0 5.355338381 13.99842
2400000.0 5.7253713957 14.10831
2650000.0 6.0319899989 14.10795
2910000.0 6.3848928368 14.25674
3170000.0 6.6637543875 14.36291
3420000.0 6.9551600834 14.32131
3680000.0 7.2130087457 14.32069
3930000.0 7.4542860334 14.50462
4190000.0 7.6656385015 14.38548
4450000.0 7.8353987463 14.40045
4700000.0 8.0713481443 14.5824
4960000.0 8.2500588582 14.59354
5220000.0 8.4223240782 14.5374
5470000.0 8.5685760938 14.75789
5730000.0 8.7653804366 14.57011
5990000.0 8.9133570313 14.71298
6240000.0 9.0104151871 14.5161
6500000.0 9.2005717109 14.63835
6750000.0 9.2896043115 14.85462
7000000.0 9.447042005 14.84279
7250000.0 9.5805668195 14.94992
7500000.0 9.6522861873 15.00595
7750000.0 9.7510303842 14.89952
8000000.0 9.8647466253 15.22001
8500000.0 10.0685745332 15.01371
9000000.0 10.2487593287 14.94496
9500000.0 10.430032825 15.0672
10000000.0 10.6028086745 15.17436
10500000.0 10.6991057033 15.03197
11000000.0 10.8601563418 15.05594
12000000.0 11.1221382132 15.20839
13000000.0 11.4083123647 15.34671
14000000.0 11.6026406358 15.12015
15000000.0 11.8157273175 15.35093
