pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.7743921704 23.03525
33300.0 1.4734291857 22.95663
50000.0 2.0948094782 22.89378
66700.0 2.667325275 22.89766
83300.0 3.2343210237 22.80236
100000.0 3.7722158128 22.61295
117000.0 4.3111145635 22.81706
133000.0 4.7959096475 22.58791
150000.0 5.2532356448 22.68573
167000.0 5.7531748808 22.52765
183000.0 6.1834705168 22.59042
200000.0 6.5846930487 22.64717
217000.0 7.0007405539 22.53834
233000.0 7.3679432945 22.19302
250000.0 7.7568617832 22.42116
267000.0 8.1586808889 22.49446
283000.0 8.4972991587 22.35421
300000.0 8.8222937271 22.29964
317000.0 9.1388608211 22.10594
333000.0 9.482502381 22.23138
350000.0 9.7741085513 22.01518
367000.0 10.0887385216 22.00162
383000.0 10.3973064207 22.18766
400000.0 10.6971125782 21.8804
600000.0 13.8492399011 22.30342
857000.0 16.8255926923 23.66699
1110000.0 18.6481451845 25.56253
1370000.0 19.8155993616 26.79484
1630000.0 20.6548903978 27.42962
1880000.0 21.22530658 27.94747
2140000.0 21.6740739494 28.8953
2400000.0 22.0795955263 29.53487
2650000.0 22.374672038 29.9739
2910000.0 22.6163842166 29.6201
3170000.0 22.9186567539 29.76983
3420000.0 23.1722180011 30.38973
3680000.0 23.3026157882 30.20995
3930000.0 23.4691527123 30.76606
4190000.0 23.5941894603 30.75516
4450000.0 23.743389766 30.79476
4700000.0 23.8943136358 31.15998
4960000.0 23.97013189 30.8566
5220000.0 24.1274393309 31.15099
5470000.0 24.2254387538 31.1532
5730000.0 24.319650978 31.35036
5990000.0 24.4673354756 31.25945
6240000.0 24.5299478623 30.84434
6500000.0 24.6129017883 31.48172
