pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0638008915 12.19537
33300.0 0.1273348336 12.2541
50000.0 0.1890001304 12.17021
66700.0 0.2558999555 12.28937
83300.0 0.3193874717 12.34065
100000.0 0.3706649574 12.25584
117000.0 0.4360559384 12.22674
133000.0 0.4883664019 12.15801
150000.0 0.5458765742 12.23272
167000.0 0.613356724 12.20854
183000.0 0.6743024182 12.00581
200000.0 0.7082165905 12.15467
217000.0 0.7767413246 12.0678
233000.0 0.8375361344 12.18591
250000.0 0.8825693269 12.10629
267000.0 0.9589168372 12.09552
283000.0 0.9897204694 12.15254
300000.0 1.0716507028 12.12328
317000.0 1.11057888 11.99562
333000.0 1.1475339534 12.12002
350000.0 1.2196915198 11.98692
367000.0 1.2619391539 11.92327
383000.0 1.3201689288 11.76568
400000.0 1.3605014917 11.8413
600000.0 1.9451553587 11.79073
857000.0 2.5823750321 11.62956
1110000.0 3.1537162518 11.51726
1370000.0 3.7325088399 11.31935
1630000.0 4.2095008788 11.48003
1880000.0 4.6625371163 11.49978
2140000.0 5.071050847 11.37902
2400000.0 5.5607868151 11.37894
2650000.0 5.8775280064 11.17205
2910000.0 6.2338241256 11.26567
3170000.0 6.5845491282 11.05373
3420000.0 6.9399167279 11.2402
3680000.0 7.2353019723 11.15235
3930000.0 7.5092732373 11.21693
4190000.0 7.7913342278 11.19231
4450000.0 8.1060674959 11.05386
4700000.0 8.3304210037 11.22347
4960000.0 8.6173683278 11.18159
5220000.0 8.805068531 11.21325
5470000.0 9.0049555518 11.10542
5730000.0 9.268782742 11.19564
5990000.0 9.4338734971 11.21834
6240000.0 9.659735849 11.25056
6500000.0 9.8318717452 11.02564
6750000.0 10.0414037616 11.17582
7000000.0 10.1583739971 11.10894
7250000.0 10.3409441305 11.09039
7500000.0 10.5097025373 11.1997
7750000.0 10.6977509353 11.29904
8000000.0 10.8307497375 11.19016
8500000.0 11.1427670862 11.14464
9000000.0 11.4565486219 11.25959
9500000.0 11.64681386 11.40324
10000000.0 11.9168505239 11.35202
10500000.0 12.1894986487 11.23867
11000000.0 12.3846502204 11.48194
12000000.0 12.8136378046 11.41928
13000000.0 13.195839616 11.29377
14000000.0 13.5598656594 11.62665
15000000.0 13.8412302604 11.54631
