pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.084252001 13.48068
33300.0 0.1656717616 13.47414
50000.0 0.238365933 13.24169
66700.0 0.322093445 13.02119
83300.0 0.3870919328 12.91986
100000.0 0.4592711513 12.6665
117000.0 0.5150100246 12.43168
133000.0 0.5923006266 12.24326
150000.0 0.6490884779 12.17576
167000.0 0.7253110296 12.31933
183000.0 0.7770733229 11.99605
200000.0 0.8332508598 11.75068
217000.0 0.9014821068 11.83612
233000.0 0.9572305163 11.73094
250000.0 1.0147240437 11.63552
267000.0 1.0773003459 11.50283
283000.0 1.1262780797 11.49719
300000.0 1.1652428421 11.39885
317000.0 1.2195703633 11.21934
333000.0 1.2692919177 11.27774
350000.0 1.3281109718 10.99318
367000.0 1.3994700803 11.06183
383000.0 1.4498019491 11.15814
400000.0 1.5234402006 10.92052
600000.0 2.0238408234 10.85358
857000.0 2.6967029559 10.45623
1110000.0 3.3200533296 10.49031
1370000.0 3.9446815491 10.26496
1630000.0 4.4862021072 10.34604
1880000.0 5.0190829015 10.45883
2140000.0 5.4771238877 10.28522
2400000.0 5.9899978118 10.35022
2650000.0 6.3899826371 10.2057
2910000.0 6.8634435991 10.29164
3170000.0 7.246101216 10.27017
3420000.0 7.6252685972 10.4085
3680000.0 7.9987810337 10.5139
3930000.0 8.3339771668 10.46433
4190000.0 8.7031125045 10.55469
4450000.0 9.0083746216 10.56971
4700000.0 9.3346449061 10.48847
4960000.0 9.6266422203 10.47348
5220000.0 9.8844905345 10.48164
5470000.0 10.22368232 10.61281
5730000.0 10.3954858345 10.57811
5990000.0 10.7107037059 10.79788
6240000.0 10.9198699075 10.54512
6500000.0 11.185804888 10.47351
6750000.0 11.4030863643 10.7138
7000000.0 11.6060445237 10.66355
7250000.0 11.8104807883 10.76675
7500000.0 12.0194753389 10.76592
7750000.0 12.2468270035 10.86074
8000000.0 12.4270890947 10.77629
8500000.0 12.7867264139 10.88133
9000000.0 13.1413477112 10.85473
9500000.0 13.4565655827 10.97041
10000000.0 13.7406192731 10.99853
10500000.0 14.0610915704 11.02794
11000000.0 14.3260729346 11.01219
12000000.0 14.822363471 11.05207
13000000.0 15.3247571519 11.20083
14000000.0 15.7725181543 11.14779
15000000.0 16.1498832007 11.34212
