pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.7553099115 22.40857
33300.0 1.4187468973 22.57125
50000.0 1.9807112409 22.47877
66700.0 2.5756883268 22.53697
83300.0 3.099393316 22.50881
100000.0 3.5923420608 22.60945
117000.0 4.074173694 22.52812
133000.0 4.5122077954 22.59334
150000.0 4.9575122244 22.48197
167000.0 5.3430778546 22.44736
183000.0 5.7363401877 22.56987
200000.0 6.0964424283 22.5377
217000.0 6.4702537352 22.49931
233000.0 6.792769887 22.58787
250000.0 7.0980092136 22.64119
267000.0 7.4364446867 22.60613
283000.0 7.7149563892 22.62068
300000.0 8.0071183748 22.61184
317000.0 8.2794421476 22.727
333000.0 8.5417954766 22.85917
350000.0 8.8203879083 22.80409
367000.0 9.0459279539 22.9849
383000.0 9.274726166 22.80908
400000.0 9.5056539038 23.18103
600000.0 11.6067433035 24.33864
857000.0 13.2244217568 25.59171
1110000.0 14.1952863783 26.71004
1370000.0 14.8458678324 27.05672
1630000.0 15.3741250061 27.95331
1880000.0 15.7681875769 28.31037
2140000.0 16.0852259021 28.31855
2400000.0 16.3868206596 28.58677
2650000.0 16.6096174812 28.91898
2910000.0 16.8196167706 29.01069
3170000.0 16.9950569231 28.74663
3420000.0 17.1405253931 29.48704
3680000.0 17.3233487373 29.28188
3930000.0 17.4255126721 29.79091
4190000.0 17.5520591662 29.79003
4450000.0 17.7201796131 30.01969
4700000.0 17.7716056591 29.80232
4960000.0 17.8684007125 29.91527
5220000.0 17.9831341 29.91669
5470000.0 18.072234018 30.24884
5730000.0 18.1662936851 29.39961
5990000.0 18.2182840515 29.85398
6240000.0 18.2675068967 30.19012
6500000.0 18.3800511914 30.26624
