pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.710118121461 23.60664675
0.333 1.39113955915 23.60664675
0.5 2.05256738467 23.60664675
0.667 2.69144113785 23.60664675
0.833 3.30525937616 23.60664675
1.0 3.90247189567 23.60664675
1.17 4.49051801828 23.60664675
1.33 5.02650901225 23.60664675
1.5 5.57831671525 23.60664675
1.67 6.11274945922 23.60664675
1.83 6.60059726556 23.60664675
2.0 7.10356426181 23.60664675
2.17 7.5913950443 23.60664675
2.33 8.03730641741 23.60664675
2.5 8.49764144628 23.60664675
2.67 8.94471032378 23.60664675
2.83 9.35386918558 23.60664675
3.0 9.77677153047 23.60664675
3.17 10.1879819804 23.60664675
3.33 10.5647517551 23.60664675
3.5 10.9546083629 23.60664675
3.67 11.3341077774 23.60664675
3.83 11.6821875284 23.60664675
4.0 12.0427256792 23.60664675
6.0 15.675920687 23.60664675
8.57 19.1390293678 23.60664675
11.1 21.6886878444 23.60664675
13.7 23.7200675295 23.60664675
16.3 25.3360319688 23.60664675
18.8 26.6060984384 23.60664675
21.4 27.706303424 23.60664675
24.0 28.6338125693 23.60664675
26.5 29.3979856738 23.60664675
29.1 30.0866993529 23.60664675
31.7 30.6876959729 23.60664675
34.2 31.1975567581 23.60664675
36.8 31.6689306334 23.60664675
39.3 32.0744431534 23.60664675
41.9 32.4540260043 23.60664675
44.5 32.7968028729 23.60664675
47.0 33.0964479443 23.60664675
49.6 33.3810164676 23.60664675
52.2 33.6414564266 23.60664675
54.7 33.8718700998 23.60664675
57.3 34.0931027418 23.60664675
59.9 34.2976695392 23.60664675
62.4 34.4803436057 23.60664675
65.0 34.6572539546 23.60664675
