pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0554640731318 9.165147759
0.333 0.110306336671 9.165147759
0.5 0.16518983404 9.165147759
0.667 0.219785597928 9.165147759
0.833 0.273771519009 9.165147759
1.0 0.327800252269 9.165147759
1.17 0.382510910049 9.165147759
1.33 0.433739318813 9.165147759
1.5 0.487891202469 9.165147759
1.67 0.541758567592 9.165147759
1.83 0.592199361214 9.165147759
2.0 0.645520789049 9.165147759
2.17 0.698564209686 9.165147759
2.33 0.748235413396 9.165147759
2.5 0.800745343367 9.165147759
2.67 0.852983580292 9.165147759
2.83 0.901902673458 9.165147759
3.0 0.953619490841 9.165147759
3.17 1.00507073956 9.165147759
3.33 1.05325467619 9.165147759
3.5 1.10419621505 9.165147759
3.67 1.15487812692 9.165147759
3.83 1.20234335527 9.165147759
4.0 1.25252691895 9.165147759
6.0 1.82436547407 9.165147759
8.57 2.5122848492 9.165147759
11.1 3.14291367596 9.165147759
13.7 3.74766824813 9.165147759
16.3 4.31278755926 9.165147759
18.8 4.82231025797 9.165147759
21.4 5.32020938573 9.165147759
24.0 5.78836323762 9.165147759
26.5 6.2128721923 9.165147759
29.1 6.62992524329 9.165147759
31.7 7.02408785769 9.165147759
34.2 7.38321293791 9.165147759
36.8 7.73762480116 9.165147759
39.3 8.06142327535 9.165147759
41.9 8.38180813258 9.165147759
44.5 8.68670129407 9.165147759
47.0 8.96628066493 9.165147759
49.6 9.24387854146 9.165147759
52.2 9.50895047811 9.165147759
54.7 9.75278729711 9.165147759
57.3 9.99563059175 9.165147759
59.9 10.2282024611 9.165147759
62.4 10.4427374027 9.165147759
65.0 10.6569668363 9.165147759
67.5 10.8549090621 9.165147759
70.0 11.0454121759 9.165147759
72.5 11.2288878104 9.165147759
75.0 11.4057177787 9.165147759
77.5 11.5762567269 9.165147759
80.0 11.7408345077 9.165147759
85.0 12.0533145723 9.165147759
90.0 12.3453766506 9.165147759
95.0 12.6189586492 9.165147759
100.0 12.8757607553 9.165147759
105.0 13.117280803 9.165147759
110.0 13.344843508 9.165147759
120.0 13.7626720286 9.165147759
130.0 14.1372115804 9.165147759
140.0 14.4748582383 9.165147759
150.0 14.7808071707 9.165147759
