pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.711611779028 23.6066467491
0.333 1.39729691012 23.6066467491
0.5 2.06630388582 23.6066467491
0.667 2.71537083681 23.6066467491
0.833 3.34165873445 23.6066467491
1.0 3.95353677964 23.6066467491
1.17 4.55847968608 23.6066467491
1.33 5.11200758493 23.6066467491
1.5 5.68401000515 23.6066467491
1.67 6.24008315246 23.6066467491
1.83 6.74948302236 23.6066467491
2.0 7.27647618329 23.6066467491
2.17 7.78937087993 23.6066467491
2.33 8.25971680917 23.6066467491
2.5 8.74681155014 23.6066467491
2.67 9.22136847961 23.6066467491
2.83 9.6569854193 23.6066467491
3.0 10.1085470856 23.6066467491
3.17 10.5489094861 23.6066467491
3.33 10.9535065694 23.6066467491
3.5 11.3732861451 23.6066467491
3.67 11.7830210414 23.6066467491
3.83 12.1597974125 23.6066467491
4.0 12.5510359166 23.6066467491
6.0 16.5499313104 23.6066467491
8.57 20.4595994523 23.6066467491
11.1 23.4013069117 23.6066467491
13.7 25.7845902122 23.6066467491
16.3 27.7061177246 23.6066467491
18.8 29.2325682187 23.6066467491
21.4 30.5665845078 23.6066467491
24.0 31.6997588343 23.6066467491
26.5 32.6393209292 23.6066467491
29.1 33.4907450116 23.6066467491
31.7 34.2373511993 23.6066467491
34.2 34.8734062252 23.6066467491
36.8 35.4636380182 23.6066467491
39.3 35.9730934924 23.6066467491
41.9 36.4513977749 23.6066467491
44.5 36.884512622 23.6066467491
47.0 37.2640563673 23.6066467491
49.6 37.6253077553 23.6066467491
52.2 37.9566175343 23.6066467491
54.7 38.2502809421 23.6066467491
57.3 38.532730786 23.6066467491
59.9 38.7943294145 23.6066467491
62.4 39.0282787227 23.6066467491
65.0 39.255159167 23.6066467491
