pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0554606204386 9.1651477588
0.333 0.11042101591 9.1651477588
0.5 0.165544133177 9.1651477588
0.667 0.22049915084 9.1651477588
0.833 0.274959263174 9.1651477588
1.0 0.329581375419 9.1651477588
1.17 0.385014418236 9.1651477588
1.33 0.43703044415 9.1651477588
1.5 0.492132208566 9.1651477588
1.67 0.547064472153 9.1651477588
1.83 0.598611287423 9.1651477588
2.0 0.653216744944 9.1651477588
2.17 0.707654984796 9.1651477588
2.33 0.75873890968 9.1651477588
2.5 0.81285473566 9.1651477588
2.67 0.866805586308 9.1651477588
2.83 0.91743282806 9.1651477588
3.0 0.971065578675 9.1651477588
3.17 1.02453555638 9.1651477588
3.33 1.07471221176 9.1651477588
3.5 1.12786832666 9.1651477588
3.67 1.18086383204 9.1651477588
3.83 1.23059588978 9.1651477588
4.0 1.28328169465 9.1651477588
6.0 1.89140426147 9.1651477588
8.57 2.64243021258 9.1651477588
11.1 3.35033424595 9.1651477588
13.7 4.04737347992 9.1651477588
16.3 4.71545250419 9.1651477588
18.8 5.33217265149 9.1651477588
21.4 5.94844927494 9.1651477588
24.0 6.54060513261 9.1651477588
26.5 7.08853273173 9.1651477588
29.1 7.63731155634 9.1651477588
31.7 8.16578809704 9.1651477588
34.2 8.65582312293 9.1651477588
36.8 9.14761539101 9.1651477588
39.3 9.60421486532 9.1651477588
41.9 10.0630141465 9.1651477588
44.5 10.5062566577 9.1651477588
47.0 10.9185054031 9.1651477588
49.6 11.3334450704 9.1651477588
52.2 11.7349877919 9.1651477588
54.7 12.1090473908 9.1651477588
57.3 12.4861288637 9.1651477588
59.9 12.8515911967 9.1651477588
62.4 13.1925325469 9.1651477588
65.0 13.5367102341 9.1651477588
67.5 13.8580800477 9.1651477588
70.0 14.1704659275 9.1651477588
72.5 14.474239401 9.1651477588
75.0 14.7697517885 9.1651477588
77.5 15.057335558 9.1651477588
80.0 15.3373055739 9.1651477588
85.0 15.8755825911 9.1651477588
90.0 16.3867912067 9.1651477588
95.0 16.8729231299 9.1651477588
100.0 17.3357793464 9.1651477588
105.0 17.7769924137 9.1651477588
110.0 18.1980457007 9.1651477588
120.0 18.9849582476 9.1651477588
130.0 19.7059812443 9.1651477588
140.0 20.3690577183 9.1651477588
150.0 20.9809033021 9.1651477588
