pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.713042743433 23.36431922
0.333 1.39314060441 23.36431922
0.5 2.05020510695 23.36431922
0.667 2.68164637529 23.36431922
0.833 3.28536725332 23.36431922
1.0 3.8699948178 23.36431922
1.17 4.44300714568 23.36431922
1.33 4.96302661877 23.36431922
1.5 5.49614589954 23.36431922
1.67 6.01032045712 23.36431922
1.83 6.47783304795 23.36431922
2.0 6.9580038667 23.36431922
2.17 7.42195892599 23.36431922
2.33 7.84453364887 23.36431922
2.5 8.27926970694 23.36431922
2.67 8.70001899865 23.36431922
2.83 9.08383699128 23.36431922
3.0 9.47929475089 23.36431922
3.17 9.86260422017 23.36431922
3.33 10.2127628636 23.36431922
3.5 10.574034723 23.36431922
3.67 10.9246881639 23.36431922
3.83 11.2454286012 23.36431922
4.0 11.5767632321 23.36431922
6.0 14.8661790362 23.36431922
8.57 17.9200708086 23.36431922
11.1 20.1193700882 23.36431922
13.7 21.8426809889 23.36431922
16.3 23.195661009 23.36431922
18.8 24.2480888631 23.36431922
21.4 25.1520853638 23.36431922
24.0 25.9087120705 23.36431922
26.5 26.5283711439 23.36431922
29.1 27.0839824889 23.36431922
31.7 27.5666308348 23.36431922
34.2 27.974493615 23.36431922
36.8 28.3502725281 23.36431922
39.3 28.6725550727 23.36431922
41.9 28.9734024151 23.36431922
44.5 29.2443934612 23.36431922
47.0 29.4807550339 23.36431922
49.6 29.7047674463 23.36431922
52.2 29.9093970646 23.36431922
54.7 30.0901258595 23.36431922
57.3 30.2633810927 23.36431922
59.9 30.4233478955 23.36431922
62.4 30.5660031473 23.36431922
65.0 30.7039851082 23.36431922
