pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0517836992722 10.11381051
0.333 0.10295524661 10.11381051
0.5 0.154133836536 10.11381051
0.667 0.205012948738 10.11381051
0.833 0.255293194765 10.11381051
1.0 0.305582938375 10.11381051
1.17 0.356476477263 10.11381051
1.33 0.404102523697 10.11381051
1.5 0.454416844779 10.11381051
1.67 0.50443663218 10.11381051
1.83 0.551247333991 10.11381051
2.0 0.600702713985 10.11381051
2.17 0.649871059409 10.11381051
2.33 0.69588717649 10.11381051
2.5 0.74450542425 10.11381051
2.67 0.792843884114 10.11381051
2.83 0.838085477525 10.11381051
3.0 0.885887669788 10.11381051
3.17 0.933417078929 10.11381051
3.33 0.977903540052 10.11381051
3.5 1.02491005191 10.11381051
3.67 1.07165055352 10.11381051
3.83 1.11540063178 10.11381051
4.0 1.16163116563 10.11381051
6.0 1.686609117 10.11381051
8.57 2.31376272648 10.11381051
11.1 2.88451549734 10.11381051
13.7 3.42814270124 10.11381051
16.3 3.93289196722 10.11381051
18.8 4.3853176376 10.11381051
21.4 4.82500074097 10.11381051
24.0 5.23625058901 10.11381051
26.5 5.60735944885 10.11381051
29.1 5.97029390733 10.11381051
31.7 6.31180930424 10.11381051
34.2 6.62170680055 10.11381051
36.8 6.92636608893 10.11381051
39.3 7.20369822985 10.11381051
41.9 7.47716127472 10.11381051
44.5 7.73653264438 10.11381051
47.0 7.97362858327 10.11381051
49.6 8.20834586897 10.11381051
52.2 8.43182554839 10.11381051
54.7 8.63684667359 10.11381051
57.3 8.84050553952 10.11381051
59.9 9.03505929676 10.11381051
62.4 9.21410015179 10.11381051
65.0 9.39248101742 10.11381051
67.5 9.55694157071 10.11381051
70.0 9.71489714045 10.11381051
72.5 9.86672618388 10.11381051
75.0 10.0127783588 10.11381051
77.5 10.1533772118 10.11381051
80.0 10.2888225709 10.11381051
85.0 10.5453461076 10.11381051
90.0 10.7843488849 10.11381051
95.0 11.007566649 10.11381051
100.0 11.2165131993 10.11381051
105.0 11.4125147649 10.11381051
110.0 11.5967381829 10.11381051
120.0 11.9338564946 10.11381051
130.0 12.2348054865 10.11381051
140.0 12.5051096888 10.11381051
150.0 12.7492230446 10.11381051
