pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.71416973328 23.3643192161
0.333 1.39853953595 23.3643192161
0.5 2.06271645817 23.3643192161
0.667 2.70377556019 23.3643192161
0.833 3.3192588714 23.3643192161
1.0 3.91768309191 23.3643192161
1.17 4.50652921315 23.3643192161
1.33 5.04290991864 23.3643192161
1.5 5.59478093243 23.3643192161
1.67 6.12894849938 23.3643192161
1.83 6.61627400569 23.3643192161
2.0 7.11842272536 23.3643192161
2.17 7.60518871679 23.3643192161
2.33 8.04989341662 23.3643192161
2.5 8.50874908929 23.3643192161
2.67 8.95415420836 23.3643192161
2.83 9.3615944735 23.3643192161
3.0 9.78252385098 23.3643192161
3.17 10.1916243348 23.3643192161
3.33 10.5662951791 23.3643192161
3.5 10.9538132699 23.3643192161
3.67 11.3308735673 23.3643192161
3.83 11.6765750803 23.3643192161
4.0 12.0345076563 23.3643192161
6.0 15.6333885044 23.3643192161
8.57 19.0501995945 23.3643192161
11.1 21.55734021 23.3643192161
13.7 23.5497493878 23.3643192161
16.3 25.1314966255 23.3643192161
18.8 26.3726754685 23.3643192161
21.4 27.4464403835 23.3643192161
24.0 28.3506403768 23.3643192161
26.5 29.0949095715 23.3643192161
29.1 29.7651440284 23.3643192161
31.7 30.3495966004 23.3643192161
34.2 30.8451166673 23.3643192161
36.8 31.3029831298 23.3643192161
39.3 31.6966840811 23.3643192161
41.9 32.065050301 23.3643192161
44.5 32.3975650211 23.3643192161
47.0 32.6881357946 23.3643192161
49.6 32.9639973007 23.3643192161
52.2 33.2163923115 23.3643192161
54.7 33.4396278541 23.3643192161
57.3 33.6539147886 23.3643192161
59.9 33.8520124059 23.3643192161
62.4 34.0288717066 23.3643192161
65.0 34.2001166691 23.3643192161
