pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0517929596847 10.1138105124
0.333 0.103086970387 10.1138105124
0.5 0.154501076307 10.1138105124
0.667 0.205726749644 10.1138105124
0.833 0.256459961676 10.1138105124
1.0 0.307312977291 10.1138105124
1.17 0.358889142535 10.1138105124
1.33 0.407256908572 10.1138105124
1.5 0.458463254218 10.1138105124
1.67 0.509480637101 10.1138105124
1.83 0.557325316088 10.1138105124
2.0 0.60797886243 10.1138105124
2.17 0.658446494878 10.1138105124
2.33 0.705776526771 10.1138105124
2.5 0.755886177368 10.1138105124
2.67 0.8058128977 10.1138105124
2.83 0.852636541856 10.1138105124
3.0 0.902211010083 10.1138105124
3.17 0.95160546817 10.1138105124
3.33 0.997930808152 10.1138105124
3.5 1.04697862225 10.1138105124
3.67 1.09584928451 10.1138105124
3.83 1.14168423274 10.1138105124
4.0 1.19021374072 10.1138105124
6.0 1.74830587141 10.1138105124
8.57 2.43236135993 10.1138105124
11.1 3.07195555454 10.1138105124
13.7 3.69687539245 10.1138105124
16.3 4.29135855778 10.1138105124
18.8 4.83629649696 10.1138105124
21.4 5.37719419564 10.1138105124
24.0 5.89351968011 10.1138105124
26.5 6.36833922716 10.1138105124
29.1 6.84108824572 10.1138105124
31.7 7.29371458519 10.1138105124
34.2 7.71112767893 10.1138105124
36.8 8.1278409007 10.1138105124
39.3 8.51277905922 10.1138105124
41.9 8.89768992627 10.1138105124
44.5 9.26777079477 10.1138105124
47.0 9.61041577214 10.1138105124
49.6 9.95379125908 10.1138105124
52.2 10.2846510787 10.1138105124
54.7 10.5916087128 10.1138105124
57.3 10.8998264881 10.1138105124
59.9 11.1973853448 10.1138105124
62.4 11.473954089 10.1138105124
65.0 11.7521499095 10.1138105124
67.5 12.011009635 10.1138105124
70.0 12.2618034551 10.1138105124
72.5 12.5049025794 10.1138105124
75.0 12.7406557829 10.1138105124
77.5 12.9693910762 10.1138105124
80.0 13.1914172276 10.1138105124
85.0 13.616489193 10.1138105124
90.0 14.0180069484 10.1138105124
95.0 14.3978755023 10.1138105124
100.0 14.7577998261 10.1138105124
105.0 15.0993104384 10.1138105124
110.0 15.4237851616 10.1138105124
120.0 16.0264835746 10.1138105124
130.0 16.5745068825 10.1138105124
140.0 17.0749722197 10.1138105124
150.0 17.5338128274 10.1138105124
