pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 1.23261245343 32.52174421
0.333 2.1753675551 32.52174421
0.5 2.92780252378 32.52174421
0.667 3.53892130145 32.52174421
0.833 4.04234524846 32.52174421
1.0 4.46892501267 32.52174421
1.17 4.83902244614 32.52174421
1.33 5.14026618968 32.52174421
1.5 5.41989017902 32.52174421
1.67 5.66533246594 32.52174421
1.83 5.8704200213 32.52174421
2.0 6.06521396379 32.52174421
2.17 6.23982431666 32.52174421
2.33 6.38840468101 32.52174421
2.5 6.53184579317 32.52174421
2.67 6.6623894886 32.52174421
2.83 6.77496704057 32.52174421
3.0 6.88497988751 32.52174421
3.17 6.98625620426 32.52174421
3.33 7.0744927732 32.52174421
3.5 7.16153507836 32.52174421
3.67 7.24238787122 32.52174421
3.83 7.31340264678 32.52174421
4.0 7.3839844458 32.52174421
6.0 7.9609741313 32.52174421
8.57 8.35242017421 32.52174421
11.1 8.57683334146 32.52174421
13.7 8.72757831419 32.52174421
16.3 8.83330249869 32.52174421
18.8 8.90892223103 32.52174421
21.4 8.96974966917 32.52174421
24.0 9.01798111567 32.52174421
26.5 9.05579148665 32.52174421
29.1 9.08847616999 32.52174421
31.7 9.11598093174 32.52174421
34.2 9.13860811073 32.52174421
36.8 9.15897471603 32.52174421
39.3 9.17608654025 32.52174421
41.9 9.19177267206 32.52174421
44.5 9.20567048059 32.52174421
47.0 9.21761719667 32.52174421
49.6 9.22879225147 32.52174421
52.2 9.23887728965 32.52174421
54.7 9.24768832355 32.52174421
57.3 9.25605171965 32.52174421
59.9 9.26370230345 32.52174421
62.4 9.27046791644 32.52174421
65.0 9.27696136067 32.52174421
