pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0357160338589 13.10425055
0.333 0.0705263972971 13.10425055
0.5 0.104870658267 13.10425055
0.667 0.138556538561 13.10425055
0.833 0.171406776013 13.10425055
1.0 0.203835115304 13.10425055
1.17 0.236225412068 13.10425055
1.33 0.266154164201 13.10425055
1.5 0.297378652091 13.10425055
1.67 0.328026980678 13.10425055
1.83 0.35636030686 13.10425055
2.0 0.385934802933 13.10425055
2.17 0.41497800263 13.10425055
2.33 0.441840156777 13.10425055
2.5 0.469892073704 13.10425055
2.67 0.497453017742 13.10425055
2.83 0.522955678111 13.10425055
3.0 0.549599639909 13.10425055
3.17 0.575788972804 13.10425055
3.33 0.600032793624 13.10425055
3.5 0.625372200842 13.10425055
3.67 0.650289822699 13.10425055
3.83 0.673365761614 13.10425055
4.0 0.69749413214 13.10425055
6.0 0.954288303446 13.10425055
8.57 1.22472488927 13.10425055
11.1 1.44221028639 13.10425055
13.7 1.62806635246 13.10425055
16.3 1.78468564443 13.10425055
18.8 1.91368036467 13.10425055
21.4 2.02990355117 13.10425055
24.0 2.13129799601 13.10425055
26.5 2.21729777593 13.10425055
29.1 2.29679026465 13.10425055
31.7 2.36775211267 13.10425055
34.2 2.4291555158 13.10425055
36.8 2.48693387841 13.10425055
39.3 2.53743547808 13.10425055
41.9 2.58539050968 13.10425055
44.5 2.62927465744 13.10425055
47.0 2.6680955687 13.10425055
49.6 2.70536626567 13.10425055
52.2 2.73982636526 13.10425055
54.7 2.77059616699 13.10425055
57.3 2.80039298294 13.10425055
59.9 2.8281685169 13.10425055
62.4 2.85315502101 13.10425055
65.0 2.87751996203 13.10425055
67.5 2.8995297083 13.10425055
70.0 2.9202709694 13.10425055
72.5 2.93985033353 13.10425055
75.0 2.95836277241 13.10425055
77.5 2.97589318181 13.10425055
80.0 2.99251768333 13.10425055
85.0 3.023316045 13.10425055
90.0 3.05122947709 13.10425055
95.0 3.07664519757 13.10425055
100.0 3.09988409502 13.10425055
105.0 3.12121434792 13.10425055
110.0 3.14086182062 13.10425055
120.0 3.17584672426 13.10425055
130.0 3.20606386404 13.10425055
140.0 3.23242569558 13.10425055
150.0 3.2556258025 13.10425055
