pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.865944455426 33.21930801
0.333 1.70266670907 33.21930801
0.5 2.52124768222 33.21930801
0.667 3.31752562754 33.21930801
0.833 4.08782182292 33.21930801
1.0 4.84226438529 33.21930801
1.17 5.58997923946 33.21930801
1.33 6.27573865713 33.21930801
1.5 6.98599186262 33.21930801
1.67 7.67803577691 33.21930801
1.83 8.31335680445 33.21930801
2.0 8.97199601919 33.21930801
2.17 9.6143627245 33.21930801
2.33 10.2046121738 33.21930801
2.5 10.8170658189 33.21930801
2.67 11.4149185194 33.21930801
2.83 11.9647279511 33.21930801
3.0 12.5356890589 33.21930801
3.17 13.0934994575 33.21930801
3.33 13.6068869131 33.21930801
3.5 14.140433567 33.21930801
3.67 14.6620938709 33.21930801
3.83 15.142562196 33.21930801
4.0 15.6422550526 33.21930801
6.0 20.7958305521 33.21930801
8.57 25.9171052199 33.21930801
11.1 29.8255701832 33.21930801
13.7 33.0274731046 33.21930801
16.3 35.6324279234 33.21930801
18.8 37.7168702022 33.21930801
21.4 39.5495791265 33.21930801
24.0 41.1145265392 33.21930801
26.5 42.4178155756 33.21930801
29.1 43.6033576557 33.21930801
31.7 44.6464978588 33.21930801
34.2 45.5378070954 33.21930801
36.8 46.3670762345 33.21930801
39.3 47.0845432986 33.21930801
41.9 47.7595681848 33.21930801
44.5 48.3720146566 33.21930801
47.0 48.9096466398 33.21930801
49.6 49.4221828076 33.21930801
52.2 49.8929394299 33.21930801
54.7 50.3107663901 33.21930801
57.3 50.7131377593 33.21930801
59.9 51.0862423574 33.21930801
62.4 51.4202690369 33.21930801
65.0 51.744525327 33.21930801
