pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0533330478879 7.482470637
0.333 0.106135593743 7.482470637
0.5 0.159045080558 7.482470637
0.667 0.211744048078 7.482470637
0.833 0.26392006098 7.482470637
1.0 0.31620298376 7.482470637
1.17 0.369212728052 7.482470637
1.33 0.418909655176 7.482470637
1.5 0.471507100457 7.482470637
1.67 0.523894023948 7.482470637
1.83 0.573008182962 7.482470637
2.0 0.624990038379 7.482470637
2.17 0.676765053382 7.482470637
2.33 0.725306635203 7.482470637
2.5 0.776683644965 7.482470637
2.67 0.827857410352 7.482470637
2.83 0.875836369661 7.482470637
3.0 0.926619029389 7.482470637
3.17 0.977201957905 7.482470637
3.33 1.02462801996 7.482470637
3.5 1.07482658384 7.482470637
3.67 1.12482884916 7.482470637
3.83 1.17171151635 7.482470637
4.0 1.22133600403 7.482470637
6.0 1.79096297298 7.482470637
8.57 2.48651309387 7.482470637
11.1 3.13423587137 7.482470637
13.7 3.76466772988 7.482470637
16.3 4.36217777382 7.482470637
18.8 4.90800180285 7.482470637
21.4 5.44800172476 7.482470637
24.0 5.96182634874 7.482470637
26.5 6.43293537511 7.482470637
29.1 6.90065317218 7.482470637
31.7 7.34721770483 7.482470637
34.2 7.75796567348 7.482470637
36.8 8.16700009742 7.482470637
39.3 8.54393845455 7.482470637
41.9 8.91998267519 7.482470637
44.5 9.280723402 7.482470637
47.0 9.61401056445 7.482470637
49.6 9.94732548817 7.482470637
52.2 10.2678467906 7.482470637
54.7 10.5646486652 7.482470637
57.3 10.8621241934 7.482470637
59.9 11.1487957797 7.482470637
62.4 11.4147914451 7.482470637
65.0 11.6819120167 7.482470637
67.5 11.9300709178 7.482470637
70.0 12.1701346908 7.482470637
72.5 12.4024930826 7.482470637
75.0 12.6275112155 7.482470637
77.5 12.8455315019 7.482470637
80.0 13.0568753831 7.482470637
85.0 13.4607241842 7.482470637
90.0 13.841266401 7.482470637
95.0 14.2004630233 7.482470637
100.0 14.5400610485 7.482470637
105.0 14.8616218962 7.482470637
110.0 15.1665454127 7.482470637
120.0 15.7313911962 7.482470637
130.0 16.2432686262 7.482470637
140.0 16.7092946594 7.482470637
150.0 17.1353659065 7.482470637
