pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.867653530714 33.219308005
0.333 1.71007249947 33.219308005
0.5 2.53810174623 33.219308005
0.667 3.34727359451 33.219308005
0.833 4.13354174686 33.219308005
1.0 4.90698492707 33.219308005
1.17 5.67683047267 33.219308005
1.33 6.38579273043 33.219308005
1.5 7.12302663624 33.219308005
1.67 7.84426333492 33.219308005
1.83 8.50892258209 33.219308005
2.0 9.2005566971 33.219308005
2.17 9.87764716407 33.219308005
2.33 10.5020300425 33.219308005
2.5 11.1521678748 33.219308005
2.67 11.7890447165 33.219308005
2.83 12.3767042793 33.219308005
3.0 12.9889713416 33.219308005
3.17 13.5891135661 33.219308005
3.33 14.1431969105 33.219308005
3.5 14.7208083458 33.219308005
3.67 15.2873049256 33.219308005
3.83 15.8106095579 33.219308005
4.0 16.3564266002 33.219308005
6.0 22.0810477817 33.219308005
8.57 27.947637601 33.219308005
11.1 32.5494063233 33.219308005
13.7 36.4026429757 33.219308005
16.3 39.5945752957 33.219308005
18.8 42.1865079557 33.219308005
21.4 44.4937558758 33.219308005
24.0 46.4852664552 33.219308005
26.5 48.1590369344 33.219308005
29.1 49.6937746189 33.219308005
31.7 51.0538773286 33.219308005
34.2 52.2232891639 33.219308005
36.8 53.3173773172 33.219308005
39.3 54.2687220215 33.219308005
41.9 55.1678517019 33.219308005
44.5 55.9870573172 33.219308005
47.0 56.7088972031 33.219308005
49.6 57.3994109733 33.219308005
52.2 58.0356841354 33.219308005
54.7 58.6020670122 33.219308005
57.3 59.1489714202 33.219308005
59.9 59.6573921596 33.219308005
62.4 60.1136240775 33.219308005
65.0 60.5574738027 33.219308005
