pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.053349017271 7.4824706366
0.333 0.1062844739 7.4824706366
0.5 0.159444398508 7.4824706366
0.667 0.212509871152 7.4824706366
0.833 0.265164229938 7.4824706366
1.0 0.318042114099 7.4824706366
1.17 0.371773660267 7.4824706366
1.33 0.42225606347 7.4824706366
1.5 0.475799873005 7.4824706366
1.67 0.529247353484 7.4824706366
1.83 0.579463101044 7.4824706366
2.0 0.632724330405 7.4824706366
2.17 0.685889991935 7.4824706366
2.33 0.735841191057 7.4824706366
2.5 0.788822071353 7.4824706366
2.67 0.841708137041 7.4824706366
2.83 0.891396872789 7.4824706366
3.0 0.944099611701 7.4824706366
3.17 0.996708281336 7.4824706366
3.33 1.04613661692 7.4824706366
3.5 1.09856339901 7.4824706366
3.67 1.15089684936 7.4824706366
3.83 1.20006682642 7.4824706366
4.0 1.25221981344 7.4824706366
6.0 1.85889703519 7.4824706366
8.57 2.62028978972 7.4824706366
11.1 3.35056621162 7.4824706366
13.7 4.081895401 7.4824706366
16.3 4.7945477591 7.4824706366
18.8 5.46283525794 7.4824706366
21.4 6.1408714298 7.4824706366
24.0 6.80222273603 7.4824706366
26.5 7.42296947336 7.4824706366
29.1 8.05333263727 7.4824706366
31.7 8.6687294044 7.4824706366
34.2 9.24683365325 7.4824706366
36.8 9.83438050745 7.4824706366
39.3 10.3866152439 7.4824706366
41.9 10.9481608284 7.4824706366
44.5 11.4971100856 7.4824706366
47.0 12.0134573367 7.4824706366
49.6 12.5388986864 7.4824706366
52.2 13.052932494 7.4824706366
54.7 13.5367801903 7.4824706366
57.3 14.0294905653 7.4824706366
59.9 14.511837176 7.4824706366
62.4 14.9661598399 7.4824706366
65.0 15.4291049964 7.4824706366
67.5 15.8653353688 7.4824706366
70.0 16.2930892093 7.4824706366
72.5 16.7126112059 7.4824706366
75.0 17.1241367187 7.4824706366
77.5 17.52789222 7.4824706366
80.0 17.9240957101 7.4824706366
85.0 18.694678631 7.4824706366
90.0 19.4374744275 7.4824706366
95.0 20.153959481 7.4824706366
100.0 20.8455074024 7.4824706366
105.0 21.5133978217 7.4824706366
110.0 22.1588242899 7.4824706366
120.0 23.3866712002 7.4824706366
130.0 24.5371287059 7.4824706366
140.0 25.617289886 7.4824706366
150.0 26.6334067013 7.4824706366
