pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.711864639616 24.25163392
0.333 1.40098331763 24.25163392
0.5 2.0763785351 24.25163392
0.667 2.73453051241 24.25163392
0.833 3.37229772607 24.25163392
1.0 3.99798068078 24.25163392
1.17 4.61910385133 24.25163392
1.33 5.1896555362 24.25163392
1.5 5.78149050759 24.25163392
1.67 6.35903943188 24.25163392
1.83 6.89002271264 24.25163392
2.0 7.4412773206 24.25163392
2.17 7.97968159303 24.25163392
2.33 8.47507435926 24.25163392
2.5 8.98978364334 24.25163392
2.67 9.49289218736 24.25163392
2.83 9.95615645112 24.25163392
3.0 10.4378376956 24.25163392
3.17 10.9090108871 24.25163392
3.33 11.3431737785 24.25163392
3.5 11.7949069702 24.25163392
3.67 12.2370917629 24.25163392
3.83 12.6448117312 24.25163392
4.0 13.0693054668 24.25163392
6.0 17.4748686748 24.25163392
8.57 21.9031832134 24.25163392
11.1 25.317111226 24.25163392
13.7 28.1363218837 24.25163392
16.3 30.4450077388 24.25163392
18.8 32.3022096798 24.25163392
21.4 33.9423940992 24.25163392
24.0 35.3483651899 24.25163392
26.5 36.5230895854 24.25163392
29.1 37.5947201786 24.25163392
31.7 38.5400346523 24.25163392
34.2 39.3495455801 24.25163392
36.8 40.1041949266 24.25163392
39.3 40.7582605693 24.25163392
41.9 41.3746180435 24.25163392
44.5 41.9346627797 24.25163392
47.0 42.4269440346 24.25163392
49.6 42.8968130925 24.25163392
52.2 43.3288688548 24.25163392
54.7 43.7127385246 24.25163392
57.3 44.082757865 24.25163392
59.9 44.4261701195 24.25163392
62.4 44.7338649126 24.25163392
65.0 45.032786235 24.25163392
