pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0604813851472 8.272208161
0.333 0.120325147578 8.272208161
0.5 0.180254198595 8.272208161
0.667 0.23990909753 8.272208161
0.833 0.298936943351 8.272208161
1.0 0.358050765527 8.272208161
1.17 0.417950659886 8.272208161
1.33 0.474074512768 8.272208161
1.5 0.533439622438 8.272208161
1.67 0.592532027581 8.272208161
1.83 0.647900973962 8.272208161
2.0 0.706469347992 8.272208161
2.17 0.764770482759 8.272208161
2.33 0.819399651898 8.272208161
2.5 0.877187222734 8.272208161
2.67 0.934712874501 8.272208161
2.83 0.988616994063 8.272208161
3.0 1.04563927216 8.272208161
3.17 1.1024048111 8.272208161
3.33 1.15559822039 8.272208161
3.5 1.21187030809 8.272208161
3.67 1.26789070085 8.272208161
3.83 1.32038736354 8.272208161
4.0 1.37592396841 8.272208161
6.0 2.0111986214 8.272208161
8.57 2.7814209636 8.272208161
11.1 3.49331337961 8.272208161
13.7 4.18128494544 8.272208161
16.3 4.82889929757 8.272208161
18.8 5.41676188757 8.272208161
21.4 5.9948781785 8.272208161
24.0 6.54179186613 8.272208161
26.5 7.04053712881 8.272208161
29.1 7.53315547751 8.272208161
31.7 8.00115348516 8.272208161
34.2 8.4296114014 8.272208161
36.8 8.85438627253 8.272208161
39.3 9.24416596883 8.272208161
41.9 9.63144067926 8.272208161
44.5 10.0014802998 8.272208161
47.0 10.3420827817 8.272208161
49.6 10.6814948124 8.272208161
52.2 11.0067356829 8.272208161
54.7 11.3069131921 8.272208161
57.3 11.6068169927 8.272208161
59.9 11.8949282598 8.272208161
62.4 12.1614729132 8.272208161
65.0 12.4283858862 8.272208161
67.5 12.6756733045 8.272208161
70.0 12.9142745035 8.272208161
72.5 13.1446392521 8.272208161
75.0 13.3671867942 8.272208161
77.5 13.5823083955 8.272208161
80.0 13.7903696384 8.272208161
85.0 14.1866572069 8.272208161
90.0 14.5585345158 8.272208161
95.0 14.9081895875 8.272208161
100.0 15.2375565321 8.272208161
105.0 15.5483513406 8.272208161
110.0 15.8421017903 8.272208161
120.0 16.3837864308 8.272208161
130.0 16.8719302863 8.272208161
140.0 17.3140975848 8.272208161
150.0 17.7164917431 8.272208161
