pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.712947102412 24.2516339179
0.333 1.40646672936 24.2516339179
0.5 2.08939910639 24.2516339179
0.667 2.75798770187 24.2516339179
0.833 3.40879990675 24.2516339179
1.0 4.05010355081 24.2516339179
1.17 4.68951723187 24.2516339179
1.33 5.27932978189 24.2516339179
1.5 5.89364833737 24.2516339179
1.67 6.49561171114 24.2516339179
1.83 7.05120976248 24.2516339179
2.0 7.63022993937 24.2516339179
2.17 8.19793938755 24.2516339179
2.33 8.72221598089 24.2516339179
2.5 9.26889498075 24.2516339179
2.67 9.80519321931 24.2516339179
2.83 10.300724189 24.2516339179
3.0 10.8176978765 24.2516339179
3.17 11.325121551 24.2516339179
3.33 11.7942078378 24.2516339179
3.5 12.283833231 24.2516339179
3.67 12.7646530274 24.2516339179
3.83 13.2093563946 24.2516339179
4.0 13.6737475867 24.2516339179
6.0 18.578875522 24.2516339179
8.57 23.6719363317 24.2516339179
11.1 27.7147755697 24.2516339179
13.7 31.1328777022 24.2516339179
16.3 33.9873536939 24.2516339179
18.8 36.3207661308 24.2516339179
21.4 38.4096875442 24.2516339179
24.0 40.2217565919 24.2516339179
26.5 41.7512149087 24.2516339179
29.1 43.1588767475 24.2516339179
31.7 44.4105826567 24.2516339179
34.2 45.4899802903 24.2516339179
36.8 46.5025300036 24.2516339179
39.3 47.3850864677 24.2516339179
41.9 48.2210154939 24.2516339179
44.5 48.9841763338 24.2516339179
47.0 49.657851403 24.2516339179
49.6 50.3033619627 24.2516339179
52.2 50.8990966056 24.2516339179
54.7 51.4301456224 24.2516339179
57.3 51.9436047044 24.2516339179
59.9 52.421528073 24.2516339179
62.4 52.8508816754 24.2516339179
65.0 53.269026766 24.2516339179
