pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0604866539315 8.2722081614
0.333 0.120468303019 8.2722081614
0.5 0.180668129507 8.2722081614
0.667 0.240724879134 8.2722081614
0.833 0.300280717099 8.2722081614
1.0 0.360053688154 8.2722081614
1.17 0.420755032253 8.2722081614
1.33 0.477752182725 8.2722081614
1.5 0.538170285173 8.2722081614
1.67 0.598443248312 8.2722081614
1.83 0.655038626876 8.2722081614
2.0 0.715031337935 8.2722081614
2.17 0.774880438912 8.2722081614
2.33 0.831078278771 8.2722081614
2.5 0.890650075314 8.2722081614
2.67 0.950079769598 8.2722081614
2.83 1.00588424469 8.2722081614
3.0 1.06503954099 8.2722081614
3.17 1.12405422182 8.2722081614
3.33 1.17946944786 8.2722081614
3.5 1.23821259668 8.2722081614
3.67 1.29681659615 8.2722081614
3.83 1.35184663163 8.2722081614
4.0 1.4101819253 8.2722081614
6.0 2.0862695407 8.2722081614
8.57 2.92829428367 8.2722081614
11.1 3.7292103046 8.2722081614
13.7 4.52479017837 8.2722081614
16.3 5.29387858199 8.2722081614
18.8 6.00961636824 8.2722081614
21.4 6.73044293786 8.2722081614
24.0 7.42839506921 8.2722081614
26.5 8.07892963407 8.2722081614
29.1 8.73506446074 8.2722081614
31.7 9.3713122479 8.2722081614
34.2 9.96516417821 8.2722081614
36.8 10.5649409183 8.2722081614
39.3 11.1252330111 8.2722081614
41.9 11.6915870791 8.2722081614
44.5 12.2419670941 8.2722081614
47.0 12.7567351043 8.2722081614
49.6 13.27768303 8.2722081614
52.2 13.7845266546 8.2722081614
54.7 14.2591016669 8.2722081614
57.3 14.7398929211 8.2722081614
59.9 15.2081688379 8.2722081614
62.4 15.6470808989 8.2722081614
65.0 16.0921858599 8.2722081614
67.5 16.5096453403 8.2722081614
70.0 16.9171588706 8.2722081614
72.5 17.315077709 8.2722081614
75.0 17.7037367659 8.2722081614
77.5 18.0834555438 8.2722081614
80.0 18.4545390133 8.2722081614
85.0 19.1719520978 8.2722081614
90.0 19.8581548615 8.2722081614
95.0 20.5151406056 8.2722081614
100.0 21.1447364288 8.2722081614
105.0 21.748620196 8.2722081614
110.0 22.3283354699 8.2722081614
120.0 23.4208408005 8.2722081614
130.0 24.4323790427 8.2722081614
140.0 25.3716294558 8.2722081614
150.0 26.2460735982 8.2722081614
