pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 4.53400456684 32.16132687
0.333 6.95543553992 32.16132687
0.5 8.47655948971 32.16132687
0.667 9.51549894398 32.16132687
0.833 10.2662558353 32.16132687
1.0 10.840157621 32.16132687
1.17 11.2978930655 32.16132687
1.33 11.645886392 32.16132687
1.5 11.9509565049 32.16132687
1.67 12.2055933113 32.16132687
1.83 12.4095728362 32.16132687
2.0 12.5963343017 32.16132687
2.17 12.7582590432 32.16132687
2.33 12.8921463473 32.16132687
2.5 13.0181390966 32.16132687
2.67 13.1301173249 32.16132687
2.83 13.2246963928 32.16132687
3.0 13.3153947487 32.16132687
3.17 13.3974227517 32.16132687
3.33 13.4677707737 32.16132687
3.5 13.5361692713 32.16132687
3.67 13.5988350908 32.16132687
3.83 13.6531988769 32.16132687
4.0 13.7066151048 32.16132687
6.0 14.1215202802 32.16132687
8.57 14.3826399208 32.16132687
11.1 14.5255644507 32.16132687
13.7 14.6189538412 32.16132687
16.3 14.6832406421 32.16132687
18.8 14.7286240469 32.16132687
21.4 14.7647741163 32.16132687
24.0 14.7932158562 32.16132687
26.5 14.8153762054 32.16132687
29.1 14.8344368094 32.16132687
31.7 14.8504084299 32.16132687
34.2 14.8635012316 32.16132687
36.8 14.8752502952 32.16132687
39.3 14.8850957091 32.16132687
41.9 14.8941000328 32.16132687
44.5 14.9020612294 32.16132687
47.0 14.9088923553 32.16132687
49.6 14.9152718869 32.16132687
52.2 14.9210205824 32.16132687
54.7 14.9260364219 32.16132687
57.3 14.9307917135 32.16132687
59.9 14.9351368395 32.16132687
62.4 14.9389754765 32.16132687
65.0 14.9426562785 32.16132687
