pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.12721815374 17.51255376
0.333 0.25038146018 17.51255376
0.5 0.371101681505 17.51255376
0.667 0.488749037 17.51255376
0.833 0.602761190565 17.51255376
1.0 0.714621351361 17.51255376
1.17 0.825674424028 17.51255376
1.33 0.927692745105 17.51255376
1.5 1.03352386468 17.51255376
1.67 1.1368074515 17.51255376
1.83 1.23176983283 17.51255376
2.0 1.33036384324 17.51255376
2.17 1.4266656724 17.51255376
2.33 1.51527960638 17.51255376
2.5 1.60735425583 17.51255376
2.67 1.69735905716 17.51255376
2.83 1.78024051633 17.51255376
3.0 1.86642168588 17.51255376
3.17 1.95072749102 17.51255376
3.33 2.02841526195 17.51255376
3.5 2.10925120681 17.51255376
3.67 2.1883826491 17.51255376
3.83 2.26135005432 17.51255376
4.0 2.33732307571 17.51255376
6.0 3.12602438515 17.51255376
8.57 3.91920958205 17.51255376
11.1 4.53098257415 17.51255376
13.7 5.03636752884 17.51255376
16.3 5.45035797478 17.51255376
18.8 5.78347037299 17.51255376
21.4 6.07771836771 17.51255376
24.0 6.32999375756 17.51255376
26.5 6.54080816415 17.51255376
29.1 6.73314686764 17.51255376
31.7 6.90283416156 17.51255376
34.2 7.04815921312 17.51255376
36.8 7.18364784682 17.51255376
39.3 7.30108754588 17.51255376
41.9 7.4117648734 17.51255376
44.5 7.51233725251 17.51255376
47.0 7.6007461849 17.51255376
49.6 7.68513487333 17.51255376
52.2 7.76273638838 17.51255376
54.7 7.83168650613 17.51255376
57.3 7.89815179095 17.51255376
59.9 7.95984032288 17.51255376
62.4 8.0151148969 17.51255376
65.0 8.06881531024 17.51255376
67.5 8.11715671703 17.51255376
70.0 8.16256672423 17.51255376
72.5 8.20530412335 17.51255376
75.0 8.2455981143 17.51255376
77.5 8.28365241747 17.51255376
80.0 8.31964871856 17.51255376
85.0 8.38610084169 17.51255376
90.0 8.44606695057 17.51255376
95.0 8.50045245381 17.51255376
100.0 8.55000173334 17.51255376
105.0 8.59533241868 17.51255376
110.0 8.63696126441 17.51255376
120.0 8.71079031779 17.51255376
130.0 8.77425408784 17.51255376
140.0 8.8293922555 17.51255376
150.0 8.87774228572 17.51255376
