pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 4.50987587099 32.1292205648
0.333 6.91710402359 32.1292205648
0.5 8.4288373555 32.1292205648
0.667 9.46115523641 32.1292205648
0.833 10.2070223553 32.1292205648
1.0 10.7771269059 32.1292205648
1.17 11.2317968774 32.1292205648
1.33 11.577437797 32.1292205648
1.5 11.8804301143 32.1292205648
1.67 12.1333214996 32.1292205648
1.83 12.3358955376 32.1292205648
2.0 12.5213644609 32.1292205648
2.17 12.6821641459 32.1292205648
2.33 12.8151181085 32.1292205648
2.5 12.9402299957 32.1292205648
2.67 13.0514232641 32.1292205648
2.83 13.1453378151 32.1292205648
3.0 13.2353976092 32.1292205648
3.17 13.3168469891 32.1292205648
3.33 13.386697942 32.1292205648
3.5 13.4546124055 32.1292205648
3.67 13.5168341184 32.1292205648
3.83 13.5708121375 32.1292205648
4.0 13.6238488733 32.1292205648
6.0 14.035791227 32.1292205648
8.57 14.2950324558 32.1292205648
11.1 14.4369243288 32.1292205648
13.7 14.5296372422 32.1292205648
16.3 14.5934575836 32.1292205648
18.8 14.6385113022 32.1292205648
21.4 14.6743985309 32.1292205648
24.0 14.7026333327 32.1292205648
26.5 14.7246323588 32.1292205648
29.1 14.7435541441 32.1292205648
31.7 14.7594093994 32.1292205648
34.2 14.7724067805 32.1292205648
36.8 14.784070194 32.1292205648
39.3 14.7938438187 32.1292205648
41.9 14.8027824729 32.1292205648
44.5 14.8106855971 32.1292205648
47.0 14.817466886 32.1292205648
49.6 14.8237998686 32.1292205648
52.2 14.8295066126 32.1292205648
54.7 14.8344858445 32.1292205648
57.3 14.8392064265 32.1292205648
59.9 14.8435198337 32.1292205648
62.4 14.8473304466 32.1292205648
65.0 14.8509843747 32.1292205648
