pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.127377953545 17.5125537577
0.333 0.250960825222 17.5125537577
0.5 0.3723459627 17.5125537577
0.667 0.49088368517 17.5125537577
0.833 0.605987662818 17.5125537577
1.0 0.719138722263 17.5125537577
1.17 0.831689245309 17.5125537577
1.33 0.935273271339 17.5125537577
1.5 1.04292149318 17.5125537577
1.67 1.14816833498 17.5125537577
1.83 1.24510175376 17.5125537577
2.0 1.34591083795 17.5125537577
2.17 1.44454253722 17.5125537577
2.33 1.53544588459 17.5125537577
2.5 1.63004747972 17.5125537577
2.67 1.72266867038 17.5125537577
2.83 1.80808761697 17.5125537577
3.0 1.89703791601 17.5125537577
3.17 1.9841817293 17.5125537577
3.33 2.06459803948 17.5125537577
3.5 2.14838871964 17.5125537577
3.67 2.23052704965 17.5125537577
3.83 2.30636767034 17.5125537577
4.0 2.38543498333 17.5125537577
6.0 3.21250133685 17.5125537577
8.57 4.05592303983 17.5125537577
11.1 4.71458149591 17.5125537577
13.7 5.26413596721 17.5125537577
16.3 5.71802424337 17.5125537577
18.8 6.08569710804 17.5125537577
21.4 6.41231312509 17.5125537577
24.0 6.69372445836 17.5125537577
26.5 6.92987380501 17.5125537577
29.1 7.14611606672 17.5125537577
31.7 7.33752013604 17.5125537577
34.2 7.50191443445 17.5125537577
36.8 7.65557413926 17.5125537577
39.3 7.78907184883 17.5125537577
41.9 7.91514483775 17.5125537577
44.5 8.02992862865 17.5125537577
47.0 8.13100479003 17.5125537577
49.6 8.22763743663 17.5125537577
52.2 8.31663014009 17.5125537577
54.7 8.39580781682 17.5125537577
57.3 8.47222696074 17.5125537577
59.9 8.54323747567 17.5125537577
62.4 8.60693318894 17.5125537577
65.0 8.66887692114 17.5125537577
67.5 8.72469135018 17.5125537577
70.0 8.7771664533 17.5125537577
72.5 8.82659320919 17.5125537577
75.0 8.87322974412 17.5125537577
77.5 8.91730584105 17.5125537577
80.0 8.95902672599 17.5125537577
85.0 9.03611966376 17.5125537577
90.0 9.10576914348 17.5125537577
95.0 9.16900353789 17.5125537577
100.0 9.22667012262 17.5125537577
105.0 9.2794732593 17.5125537577
110.0 9.32800330882 17.5125537577
120.0 9.41416360836 17.5125537577
130.0 9.48832147578 17.5125537577
140.0 9.55282157268 17.5125537577
150.0 9.6094351935 17.5125537577
