pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 1.18073344564 27.36056919
0.333 2.31296785561 27.36056919
0.5 3.41251517981 27.36056919
0.667 4.47446451255 27.36056919
0.833 5.49466937606 27.36056919
1.0 6.48718356932 27.36056919
1.17 7.46437642509 27.36056919
1.33 8.35499032148 27.36056919
1.5 9.27181017119 27.36056919
1.67 10.1596888646 27.36056919
1.83 10.9701111225 27.36056919
2.0 11.8055870772 27.36056919
2.17 12.6158596392 27.36056919
2.33 13.3564530103 27.36056919
2.5 14.1209495746 27.36056919
2.67 14.8633635843 27.36056919
2.83 15.5427792718 27.36056919
3.0 16.2449720907 27.36056919
3.17 16.9277084763 27.36056919
3.33 17.5532254404 27.36056919
3.5 18.2004317895 27.36056919
3.67 18.8304073817 27.36056919
3.83 19.4081940126 27.36056919
4.0 20.0066286118 27.36056919
6.0 26.035320634 27.36056919
8.57 31.7787017548 27.36056919
11.1 36.0052541372 27.36056919
13.7 39.3714941918 27.36056919
16.3 42.0486038273 27.36056919
18.8 44.1522183865 27.36056919
21.4 45.97416483 27.36056919
24.0 47.5098907589 27.36056919
26.5 48.7750110006 27.36056919
29.1 49.9150799989 27.36056919
31.7 50.9098488537 27.36056919
34.2 51.7536990341 27.36056919
36.8 52.5337932965 27.36056919
39.3 53.2048467265 27.36056919
41.9 53.8329538006 27.36056919
44.5 54.4001259974 27.36056919
47.0 54.8959065766 27.36056919
49.6 55.3667213539 27.36056919
52.2 55.7975980268 27.36056919
54.7 56.1787845392 27.36056919
57.3 56.5447698736 27.36056919
59.9 56.8831740152 27.36056919
62.4 57.1853533289 27.36056919
65.0 57.4779903649 27.36056919
