pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0781181585886 9.251290547
0.333 0.155364645254 9.251290547
0.5 0.232673305776 9.251290547
0.667 0.309580730983 9.251290547
0.833 0.385633075602 9.251290547
1.0 0.461749701055 9.251290547
1.17 0.538831080531 9.251290547
1.33 0.611010040994 9.251290547
1.5 0.687311953362 9.251290547
1.67 0.763216928063 9.251290547
1.83 0.83429707098 9.251290547
2.0 0.909440310165 9.251290547
2.17 0.984195607202 9.251290547
2.33 1.05420183472 9.251290547
2.5 1.12821259406 9.251290547
2.67 1.20184413701 9.251290547
2.83 1.27080060444 9.251290547
3.0 1.34370429368 9.251290547
3.17 1.41623723253 9.251290547
3.33 1.48416737618 9.251290547
3.5 1.55598865053 9.251290547
3.67 1.62744739037 9.251290547
3.83 1.69437395404 9.251290547
4.0 1.76513674201 9.251290547
6.0 2.57171660515 9.251290547
8.57 3.542619593 9.251290547
11.1 4.43323229885 9.251290547
13.7 5.28781406841 9.251290547
16.3 6.08683898654 9.251290547
18.8 6.80763019677 9.251290547
21.4 7.51232166608 9.251290547
24.0 8.17522363242 9.251290547
26.5 8.77658459904 9.251290547
29.1 9.36762429453 9.251290547
31.7 9.92644359514 9.251290547
34.2 10.4357746654 9.251290547
36.8 10.9385949803 9.251290547
39.3 11.3981336736 9.251290547
41.9 11.8529696949 9.251290547
44.5 12.2859440547 9.251290547
47.0 12.6830831764 9.251290547
49.6 13.0775141485 9.251290547
52.2 13.4542464895 9.251290547
54.7 13.8008840533 9.251290547
57.3 14.1461907281 9.251290547
59.9 14.4769684081 9.251290547
62.4 14.7821590778 9.251290547
65.0 15.0869785476 9.251290547
67.5 15.368679862 9.251290547
70.0 15.6398453225 9.251290547
72.5 15.9010551527 9.251290547
75.0 16.1528477393 9.251290547
77.5 16.3957233361 9.251290547
80.0 16.6301473813 9.251290547
85.0 17.0753460542 9.251290547
90.0 17.4915768437 9.251290547
95.0 17.8815779596 9.251290547
100.0 18.2477530451 9.251290547
105.0 18.5922207606 9.251290547
110.0 18.9168558036 9.251290547
120.0 19.5131060681 9.251290547
130.0 20.0477878947 9.251290547
140.0 20.5299693793 9.251290547
150.0 20.9670211637 9.251290547
