pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 1.18348181412 27.3605691863
0.333 2.32381785278 27.3605691863
0.5 3.43639141733 27.3605691863
0.667 4.51578002668 27.3605691863
0.833 5.55726477371 27.3605691863
1.0 6.57476520143 27.3605691863
1.17 7.58071222983 27.3605691863
1.33 8.50114413446 27.3605691863
1.5 9.45227808681 27.3605691863
1.67 10.3769068361 27.3605691863
1.83 11.2239126921 27.3605691863
2.0 12.1001563585 27.3605691863
2.17 12.9529430707 27.3605691863
2.33 13.7349711172 27.3605691863
2.5 14.5448336246 27.3605691863
2.67 15.3338373527 27.3605691863
2.83 16.0580877789 27.3605691863
3.0 16.8088363268 27.3605691863
3.17 17.540954291 27.3605691863
3.33 18.2136014732 27.3605691863
3.5 18.9114799151 27.3605691863
3.67 19.5926495711 27.3605691863
3.83 20.2190184589 27.3605691863
4.0 20.8694212928 27.3605691863
6.0 27.5167689135 27.3605691863
8.57 34.0149187152 27.3605691863
11.1 38.9036774839 27.3605691863
13.7 42.8640441415 27.3605691863
16.3 46.0568644845 27.3605691863
18.8 48.5930737707 27.3605691863
21.4 50.8094441334 27.3605691863
24.0 52.6920511594 27.3605691863
26.5 54.2529440475 27.3605691863
29.1 55.6673702549 27.3605691863
31.7 56.907634225 27.3605691863
34.2 57.9642254574 27.3605691863
36.8 58.944676339 27.3605691863
39.3 59.7909315197 27.3605691863
41.9 60.5854281681 27.3605691863
44.5 61.3048508556 27.3605691863
47.0 61.9352808754 27.3605691863
49.6 62.5353193394 27.3605691863
52.2 63.0856183072 27.3605691863
54.7 63.5733822069 27.3605691863
57.3 64.0425161943 27.3605691863
59.9 64.477013409 27.3605691863
62.4 64.8655837368 27.3605691863
65.0 65.2424103121 27.3605691863
