pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0782311604014 9.2512905469
0.333 0.155760243135 9.2512905469
0.5 0.233522392197 9.2512905469
0.667 0.311050917759 9.2512905469
0.833 0.38788471113 9.2512905469
1.0 0.464950520424 9.2512905469
1.17 0.543164008873 9.2512905469
1.33 0.616559490712 9.2512905469
1.5 0.694312431428 9.2512905469
1.67 0.771829706154 9.2512905469
1.83 0.84457281973 9.2512905469
2.0 0.921635673375 9.2512905469
2.17 0.998465989145 9.2512905469
2.33 1.07056539372 9.2512905469
2.5 1.14694730687 9.2512905469
2.67 1.22309975515 9.2512905469
2.83 1.29456395742 9.2512905469
3.0 1.37027391572 9.2512905469
3.17 1.44575742824 9.2512905469
3.33 1.51659478566 9.2512905469
3.5 1.59164161736 9.2512905469
3.67 1.66646496963 9.2512905469
3.83 1.73668369369 9.2512905469
4.0 1.81107607304 9.2512905469
6.0 2.66997924342 9.2512905469
8.57 3.73131133889 9.2512905469
11.1 4.73230640969 9.2512905469
13.7 5.71850955602 9.2512905469
16.3 6.66427086155 9.2512905469
18.8 7.53778926809 9.2512905469
21.4 8.41112376308 9.2512905469
24.0 9.25069508659 9.2512905469
26.5 10.0279244243 9.2512905469
29.1 10.8067138827 9.2512905469
31.7 11.5570255454 9.2512905469
34.2 12.2530521994 9.2512905469
36.8 12.9518582614 9.2512905469
39.3 13.6009119549 9.2512905469
41.9 14.2533395298 9.2512905469
44.5 14.8838800183 9.2512905469
47.0 15.4705374483 9.2512905469
49.6 16.0612263221 9.2512905469
52.2 16.63303705 9.2512905469
54.7 17.1658818438 9.2512905469
57.3 17.7031982804 9.2512905469
59.9 18.224118286 9.2512905469
62.4 18.7102288918 9.2512905469
65.0 19.201093057 9.2512905469
67.5 19.6595551059 9.2512905469
70.0 20.1053177768 9.2512905469
72.5 20.5389015198 9.2512905469
75.0 20.9607987292 9.2512905469
77.5 21.371475609 9.2512905469
80.0 21.7713738911 9.2512905469
85.0 22.540488619 9.2512905469
90.0 23.2712446027 9.2512905469
95.0 23.9664416725 9.2512905469
100.0 24.6286136493 9.2512905469
105.0 25.2600592023 9.2512905469
110.0 25.8628685105 9.2512905469
120.0 26.9900323276 9.2512905469
130.0 28.0234633336 9.2512905469
140.0 28.974386759 9.2512905469
150.0 29.8523042281 9.2512905469
