pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.238136621791 16.13728018
0.333 0.473520075207 16.13728018
0.5 0.708997514552 16.13728018
0.667 0.943158108466 16.13728018
0.833 1.17462239706 16.13728018
1.0 1.40618994563 16.13728018
1.17 1.64059841445 16.13728018
1.33 1.86001255077 16.13728018
1.5 2.09186969773 16.13728018
1.67 2.32242875203 16.13728018
1.83 2.53824944556 16.13728018
2.0 2.76631959754 16.13728018
2.17 2.99312328623 16.13728018
2.33 3.20543809665 16.13728018
2.5 3.42981328287 16.13728018
2.67 3.6529526159 16.13728018
2.83 3.86184628112 16.13728018
3.0 4.08261557288 16.13728018
3.17 4.30217864299 16.13728018
3.33 4.50773319191 16.13728018
3.5 4.72498282044 16.13728018
3.67 4.9410549191 16.13728018
3.83 5.14334977902 16.13728018
4.0 5.35716324782 16.13728018
6.0 7.7887141255 16.13728018
8.57 10.7021163331 16.13728018
11.1 13.3616878429 16.13728018
13.7 15.902137481 16.13728018
16.3 18.2672875871 16.13728018
18.8 20.3925038825 16.13728018
21.4 22.4626302126 16.13728018
24.0 24.4031534803 16.13728018
26.5 26.1578189794 16.13728018
29.1 27.87710296 16.13728018
31.7 29.4978808968 16.13728018
34.2 30.9710954035 16.13728018
36.8 32.4217233763 16.13728018
39.3 33.744234326 16.13728018
41.9 35.05016581 16.13728018
44.5 36.2905224439 16.13728018
47.0 37.4258225456 16.13728018
49.6 38.55111678 16.13728018
52.2 39.6238170866 16.13728018
54.7 40.6090183111 16.13728018
57.3 41.5887189614 16.13728018
59.9 42.5255942864 16.13728018
62.4 43.3886099687 16.13728018
65.0 44.2492489338 16.13728018
