pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0535212042322 6.100122503
0.333 0.106552410676 6.100122503
0.5 0.159733364086 6.100122503
0.667 0.212744901507 6.100122503
0.833 0.265271906671 6.100122503
1.0 0.317948034205 6.100122503
1.17 0.371398905788 6.100122503
1.33 0.421548263093 6.100122503
1.5 0.47466556677 6.100122503
1.67 0.527612249705 6.100122503
1.83 0.577289295857 6.100122503
2.0 0.629907112149 6.100122503
2.17 0.682356706766 6.100122503
2.33 0.731568082882 6.100122503
2.5 0.783693424186 6.100122503
2.67 0.835652898113 6.100122503
2.83 0.884405121388 6.100122503
3.0 0.936044869446 6.100122503
3.17 0.987521060698 6.100122503
3.33 1.03582052728 6.100122503
3.5 1.08698143621 6.100122503
3.67 1.13798105619 6.100122503
3.83 1.18583404396 6.100122503
4.0 1.23652274321 6.100122503
6.0 1.82111528383 6.100122503
8.57 2.54186837964 6.100122503
11.1 3.22001310057 6.100122503
13.7 3.88659162708 6.100122503
16.3 4.5243997132 6.100122503
18.8 5.11224363444 6.100122503
21.4 5.69877274878 6.100122503
24.0 6.26150722808 6.100122503
26.5 6.78148081627 6.100122503
29.1 7.30156022838 6.100122503
31.7 7.80173641322 6.100122503
34.2 8.26494979937 6.100122503
36.8 8.72926430782 6.100122503
39.3 9.15985105886 6.100122503
41.9 9.59202695869 6.100122503
44.5 10.0090875558 6.100122503
47.0 10.3965789405 6.100122503
49.6 10.7862049167 6.100122503
52.2 11.1628747634 6.100122503
54.7 11.5134312198 6.100122503
57.3 11.8664953619 6.100122503
59.9 12.2083701167 6.100122503
62.4 12.5270314878 6.100122503
65.0 12.8484487783 6.100122503
67.5 13.1483228409 6.100122503
70.0 13.4395886445 6.100122503
72.5 13.7226116102 6.100122503
75.0 13.9977367651 6.100122503
77.5 14.2652901452 6.100122503
80.0 14.5255800839 6.100122503
85.0 15.0255214792 6.100122503
90.0 15.4997163375 6.100122503
95.0 15.9501036171 6.100122503
100.0 16.3784323481 6.100122503
105.0 16.7862843319 6.100122503
110.0 17.175093661 6.100122503
120.0 17.9006810135 6.100122503
130.0 18.5642995213 6.100122503
140.0 19.173562747 6.100122503
150.0 19.7348861072 6.100122503
