pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.238873641726 16.1372801765
0.333 0.476188239977 16.1372801765
0.5 0.714803112065 16.1372801765
0.667 0.953288369075 16.1372801765
0.833 1.19021722189 16.1372801765
1.0 1.42844433993 16.1372801765
1.17 1.67081818341 16.1372801765
1.33 1.8988124454 16.1372801765
1.5 2.14092651419 16.1372801765
1.67 2.38290692262 16.1372801765
1.83 2.61053119042 16.1372801765
2.0 2.85225245626 16.1372801765
2.17 3.09384038682 16.1372801765
2.33 3.32109556036 16.1372801765
2.5 3.56242497838 16.1372801765
2.67 3.80362138518 16.1372801765
2.83 4.03050836145 16.1372801765
3.0 4.27144688371 16.1372801765
3.17 4.51225271775 16.1372801765
3.33 4.73877239085 16.1372801765
3.5 4.97932096632 16.1372801765
3.67 5.21973717551 16.1372801765
3.83 5.44589043666 16.1372801765
4.0 5.68605001123 16.1372801765
6.0 8.5015712002 16.1372801765
8.57 12.0929672274 16.1372801765
11.1 15.5996306854 16.1372801765
13.7 19.1738744951 16.1372801765
16.3 22.7186404863 16.1372801765
18.8 26.0996084953 16.1372801765
21.4 29.5876019394 16.1372801765
24.0 33.047175964 16.1372801765
26.5 36.3472106817 16.1372801765
29.1 39.7520384805 16.1372801765
31.7 43.12945519 16.1372801765
34.2 46.3514282754 16.1372801765
36.8 49.6760297847 16.1372801765
39.3 52.8478146789 16.1372801765
41.9 56.1208302384 16.1372801765
44.5 59.3680079126 16.1372801765
47.0 62.4662115424 16.1372801765
49.6 65.6635879432 16.1372801765
52.2 68.8360152135 16.1372801765
54.7 71.8631686785 16.1372801765
57.3 74.9874979678 16.1372801765
59.9 78.0877265831 16.1372801765
62.4 81.0462462112 16.1372801765
65.0 84.1000033405 16.1372801765
