pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0535738801753 6.1001225032
0.333 0.106774934921 6.1001225032
0.5 0.160244217533 6.1001225032
0.667 0.213661159603 6.1001225032
0.833 0.266706444366 6.1001225032
1.0 0.320019247922 6.1001225032
1.17 0.374236243382 6.1001225032
1.33 0.425214747178 6.1001225032
1.5 0.47932714879 6.1001225032
1.67 0.533385786802 6.1001225032
1.83 0.584215463889 6.1001225032
2.0 0.638169965745 6.1001225032
2.17 0.692070939096 6.1001225032
2.33 0.742752440251 6.1001225032
2.5 0.796549732471 6.1001225032
2.67 0.85029372991 6.1001225032
2.83 0.900827702122 6.1001225032
3.0 0.954468470809 6.1001225032
3.17 1.00805617708 6.1001225032
3.33 1.05844326358 6.1001225032
3.5 1.11192819085 6.1001225032
3.67 1.16536028672 6.1001225032
3.83 1.215601127 6.1001225032
4.0 1.26893089101 6.1001225032
6.0 1.89241105761 6.1001225032
8.57 2.68309526009 6.1001225032
11.1 3.45018378044 6.1001225032
13.7 4.22707985105 6.1001225032
16.3 4.99265458198 6.1001225032
18.8 5.71833635354 6.1001225032
21.4 6.46241086943 6.1001225032
24.0 7.19587137367 6.1001225032
26.5 7.89132233148 6.1001225032
29.1 8.604612122 6.1001225032
31.7 9.30793751179 6.1001225032
34.2 9.97500810922 6.1001225032
36.8 10.6593848898 6.1001225032
39.3 11.3086038838 6.1001225032
41.9 11.9747876235 6.1001225032
44.5 12.6319743939 6.1001225032
47.0 13.2555687633 6.1001225032
49.6 13.8956289765 6.1001225032
52.2 14.527214503 6.1001225032
54.7 15.1266719486 6.1001225032
57.3 15.7421156459 6.1001225032
59.9 16.3495672829 6.1001225032
62.4 16.9262625323 6.1001225032
65.0 17.5184829988 6.1001225032
67.5 18.0808083456 6.1001225032
70.0 18.6362850166 6.1001225032
72.5 19.1850373717 6.1001225032
75.0 19.7271867781 6.1001225032
77.5 20.2628516993 6.1001225032
80.0 20.7921477825 6.1001225032
85.0 21.8320824332 6.1001225032
90.0 22.847862656 6.1001225032
95.0 23.8403203375 6.1001225032
100.0 24.8102495972 6.1001225032
105.0 25.758408907 6.1001225032
110.0 26.6855230688 6.1001225032
120.0 28.4793577737 6.1001225032
130.0 30.1969460118 6.1001225032
140.0 31.8430478734 6.1001225032
150.0 33.4220352948 6.1001225032
