pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 2.41614037482 32.7109159
0.333 4.53354565343 32.7109159
0.5 6.42570348601 32.7109159
0.667 8.11706669944 32.7109159
0.833 9.62933610024 32.7109159
1.0 11.0051519576 32.7109159
1.17 12.2763878809 32.7109159
1.33 13.3692258996 32.7109159
1.5 14.4341004773 32.7109159
1.67 15.4117406985 32.7109159
1.83 16.2614282474 32.7109159
2.0 17.0977268065 32.7109159
2.17 17.8728818959 32.7109159
2.33 18.5523909579 32.7109159
2.5 19.2265312251 32.7109159
2.67 19.8561685896 32.7109159
2.83 20.4119429862 32.7109159
3.0 20.9668959427 32.7109159
3.17 21.4884558563 32.7109159
3.33 21.9514563845 32.7109159
3.5 22.4162491718 32.7109159
3.67 22.8553477632 32.7109159
3.83 23.2470052601 32.7109159
4.0 23.6419505386 32.7109159
6.0 27.0994213991 32.7109159
8.57 29.7048875404 32.7109159
11.1 31.3065705967 32.7109159
13.7 32.4307047341 32.7109159
16.3 33.2435836305 32.7109159
18.8 33.8378784815 32.7109159
21.4 34.3239481723 32.7109159
24.0 34.7145675482 32.7109159
26.5 35.0240654148 32.7109159
29.1 35.2939623233 32.7109159
31.7 35.5227987417 32.7109159
34.2 35.7122403461 32.7109159
36.8 35.8836794704 32.7109159
39.3 36.0284026408 32.7109159
41.9 36.1616185505 32.7109159
44.5 36.2800895293 32.7109159
47.0 36.3822626473 32.7109159
49.6 36.4781171202 32.7109159
52.2 36.5648560184 32.7109159
54.7 36.6408199936 32.7109159
57.3 36.7130826443 32.7109159
59.9 36.7793215151 32.7109159
62.4 36.8380062138 32.7109159
65.0 36.8944256477 32.7109159
