pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0522931859405 9.015799999
0.333 0.103987783444 9.015799999
0.5 0.155708980445 9.015799999
0.667 0.207146851046 9.015799999
0.833 0.257998220162 9.015799999
1.0 0.308878039937 9.015799999
1.17 0.360387938107 9.015799999
1.33 0.408608274527 9.015799999
1.5 0.459568822398 9.015799999
1.67 0.510249794917 9.015799999
1.83 0.557696198264 9.015799999
2.0 0.607840992961 9.015799999
2.17 0.657712889313 9.015799999
2.33 0.704403843525 9.015799999
2.5 0.753752316735 9.015799999
2.67 0.80283435767 9.015799999
2.83 0.84878776273 9.015799999
3.0 0.897358733843 9.015799999
3.17 0.945669536075 9.015799999
3.33 0.990902730892 9.015799999
3.5 1.03871443092 9.015799999
3.67 1.08627203068 9.015799999
3.83 1.1308018149 9.015799999
4.0 1.17787190931 9.015799999
6.0 1.71351423516 9.015799999
8.57 2.35614422846 9.015799999
11.1 2.94358743291 9.015799999
13.7 3.50543578266 9.015799999
16.3 4.0291453094 9.015799999
18.8 4.50024642517 9.015799999
21.4 4.95960923642 9.015799999
24.0 5.39063806555 9.015799999
26.5 5.78073879722 9.015799999
29.1 6.16330053215 9.015799999
31.7 6.52424030677 9.015799999
34.2 6.85256861917 9.015799999
36.8 7.17609628582 9.015799999
39.3 7.47125231018 9.015799999
41.9 7.76289719553 9.015799999
44.5 8.04007179434 9.015799999
47.0 8.29391889212 9.015799999
49.6 8.54566920987 9.015799999
52.2 8.78578355008 9.015799999
54.7 9.00642414846 9.015799999
57.3 9.22593942348 9.015799999
59.9 9.43595856526 9.015799999
62.4 9.62950671049 9.015799999
65.0 9.8226041142 9.015799999
67.5 10.0008655753 9.015799999
70.0 10.1722868563 9.015799999
72.5 10.3372542491 9.015799999
75.0 10.4961254957 9.015799999
77.5 10.6492323781 9.015799999
80.0 10.7968830309 9.015799999
85.0 11.076942156 9.015799999
90.0 11.3383685167 9.015799999
95.0 11.5829617465 9.015799999
100.0 11.8122969522 9.015799999
105.0 12.0277586706 9.015799999
110.0 12.230568843 9.015799999
120.0 12.6024446062 9.015799999
130.0 12.9352382187 9.015799999
140.0 13.2348030866 9.015799999
150.0 13.5058792968 9.015799999
