pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 2.42158765302 32.7109159036
0.333 4.55276196971 32.7109159036
0.5 6.46437618678 32.7109159036
0.667 8.17887544206 32.7109159036
0.833 9.71644467894 32.7109159036
1.0 11.1190777374 32.7109159036
1.17 12.4183232932 32.7109159036
1.33 13.5377295428 32.7109159036
1.5 14.6307135688 32.7109159036
1.67 15.6360964639 32.7109159036
1.83 16.5114051725 32.7109159036
2.0 17.374295344 32.7109159036
2.17 18.1753181194 32.7109159036
2.33 18.8784707603 32.7109159036
2.5 19.5769629829 32.7109159036
2.67 20.2301515259 32.7109159036
2.83 20.8073629474 32.7109159036
3.0 21.384329126 32.7109159036
3.17 21.9271322293 32.7109159036
3.33 22.4094417242 32.7109159036
3.5 22.894045364 32.7109159036
3.67 23.3522532889 32.7109159036
3.83 23.7612786111 32.7109159036
4.0 24.1740463681 32.7109159036
6.0 27.8008364505 32.7109159036
8.57 30.5497635243 32.7109159036
11.1 32.2464555151 32.7109159036
13.7 33.4403873656 32.7109159036
16.3 34.3053447607 32.7109159036
18.8 34.9385695606 32.7109159036
21.4 35.4570179199 32.7109159036
24.0 35.8740091354 32.7109159036
26.5 36.2046247107 32.7109159036
29.1 36.4930980762 32.7109159036
31.7 36.7378022943 32.7109159036
34.2 36.9404616152 32.7109159036
36.8 37.123926137 32.7109159036
39.3 37.2788479154 32.7109159036
41.9 37.4214897056 32.7109159036
44.5 37.5483740306 32.7109159036
47.0 37.6578263516 32.7109159036
49.6 37.7605294602 32.7109159036
52.2 37.8534820579 32.7109159036
54.7 37.9349006179 32.7109159036
57.3 38.0123631469 32.7109159036
59.9 38.0833779174 32.7109159036
62.4 38.1463014283 32.7109159036
65.0 38.2068027673 32.7109159036
