pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0523878059337 9.0157999986
0.333 0.10429017115 9.0157999986
0.5 0.156333279521 9.0157999986
0.667 0.208204801007 9.0157999986
0.833 0.259596503747 9.0157999986
1.0 0.311128402326 9.0157999986
1.17 0.363412378812 9.0157999986
1.33 0.412461571581 9.0157999986
1.5 0.464407958077 9.0157999986
1.67 0.516181709159 9.0157999986
1.83 0.564753013443 9.0157999986
2.0 0.616194096248 9.0157999986
2.17 0.667465054379 9.0157999986
2.33 0.715565420441 9.0157999986
2.5 0.766508536799 9.0157999986
2.67 0.817283990771 9.0157999986
2.83 0.864920234746 9.0157999986
3.0 0.915372580533 9.0157999986
3.17 0.965659678931 9.0157999986
3.33 1.01283848605 9.0157999986
3.5 1.06280711916 9.0157999986
3.67 1.11261287372 9.0157999986
3.83 1.15934080144 9.0157999986
4.0 1.20883264507 9.0157999986
6.0 1.7792410175 9.0157999986
8.57 2.48154281811 9.0157999986
11.1 3.1413576118 9.0157999986
13.7 3.78900485053 9.0157999986
16.3 4.40785220315 9.0157999986
18.8 4.9774890415 9.0157999986
21.4 5.54515362008 9.0157999986
24.0 6.08913453114 9.0157999986
26.5 6.59121098147 9.0157999986
29.1 7.09284420798 9.0157999986
31.7 7.57476641398 9.0157999986
34.2 8.0206262373 9.0157999986
36.8 8.46711370086 9.0157999986
39.3 8.88078217566 9.0157999986
41.9 9.2956041853 9.0157999986
44.5 9.69556383816 9.0157999986
47.0 10.0668555214 9.0157999986
49.6 10.4398906889 9.0157999986
52.2 10.8002339964 9.0157999986
54.7 11.1353422225 9.0157999986
57.3 11.4726008179 9.0157999986
59.9 11.7989351577 9.0157999986
62.4 12.1029026401 9.0157999986
65.0 12.4092952129 9.0157999986
67.5 12.6949672665 9.0157999986
70.0 12.9722685552 9.0157999986
72.5 13.2415616868 9.0157999986
75.0 13.5031886239 9.0157999986
77.5 13.7574721321 9.0157999986
80.0 14.0047171091 9.0157999986
85.0 14.4792289377 9.0157999986
90.0 14.9288498793 9.0157999986
95.0 15.3554883855 9.0157999986
100.0 15.7608626685 9.0157999986
105.0 16.1465238289 9.0157999986
110.0 16.5138756903 9.0157999986
120.0 17.1986305497 9.0157999986
130.0 17.8240059041 9.0157999986
140.0 18.3974045507 9.0157999986
150.0 18.9250478479 9.0157999986
