pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.742647343032 24.3396536
0.333 1.4248643586 24.3396536
0.5 2.0610487927 24.3396536
0.667 2.65226236934 24.3396536
0.833 3.19992414258 24.3396536
1.0 3.71461158277 24.3396536
1.17 4.2047716062 24.3396536
1.33 4.63784348939 24.3396536
1.5 5.07066195107 24.3396536
1.67 5.47778920319 24.3396536
1.83 5.83949195325 24.3396536
2.0 6.20286635821 24.3396536
2.17 6.54640324746 24.3396536
2.33 6.85302902433 24.3396536
2.5 7.16242499902 24.3396536
2.67 7.45618553634 24.3396536
2.83 7.71941995208 24.3396536
3.0 7.98602957611 24.3396536
3.17 8.24009800667 24.3396536
3.33 8.4685402569 24.3396536
3.5 8.70066237525 24.3396536
3.67 8.92257203159 24.3396536
3.83 9.12269049377 24.3396536
4.0 9.32660863273 24.3396536
6.0 11.2080546183 24.3396536
8.57 12.7507736408 24.3396536
11.1 13.7585018403 24.3396536
13.7 14.49494017 24.3396536
16.3 15.0432712973 24.3396536
18.8 15.45287623 24.3396536
21.4 15.7935268498 24.3396536
24.0 16.0710444734 24.3396536
26.5 16.2933531823 24.3396536
29.1 16.4889933874 24.3396536
31.7 16.6561831718 24.3396536
34.2 16.7955124531 24.3396536
36.8 16.9223277944 24.3396536
39.3 17.0299226301 24.3396536
41.9 17.129403759 24.3396536
44.5 17.2182316016 24.3396536
47.0 17.2951115462 24.3396536
49.6 17.3674672343 24.3396536
52.2 17.4331349877 24.3396536
54.7 17.4907965319 24.3396536
57.3 17.5457800694 24.3396536
59.9 17.5962932582 24.3396536
62.4 17.6411363298 24.3396536
65.0 17.6843289501 24.3396536
