pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0604690100719 12.38749808
0.333 0.11995025081 12.38749808
0.5 0.179170150728 12.38749808
0.667 0.237778142143 12.38749808
0.833 0.295438096618 12.38749808
1.0 0.352853909269 12.38749808
1.17 0.410701131392 12.38749808
1.33 0.464600919871 12.38749808
1.5 0.521299474831 12.38749808
1.67 0.577419597921 12.38749808
1.83 0.629718032291 12.38749808
2.0 0.684740297965 12.38749808
2.17 0.739209530104 12.38749808
2.33 0.789976928613 12.38749808
2.5 0.843396160032 12.38749808
2.67 0.896286290793 12.38749808
2.83 0.945588914081 12.38749808
3.0 0.99747415923 12.38749808
3.17 1.04885287533 12.38749808
3.33 1.09675321494 12.38749808
3.5 1.14716961249 12.38749808
3.67 1.19710078675 12.38749808
3.83 1.24365782936 12.38749808
4.0 1.29266688148 12.38749808
6.0 1.83601864275 12.38749808
8.57 2.45490601994 12.38749808
11.1 2.99149009127 12.38749808
13.7 3.48055236046 12.38749808
16.3 3.91658558826 12.38749808
18.8 4.29347099938 12.38749808
21.4 4.64775549637 12.38749808
24.0 4.96893951896 12.38749808
26.5 5.25068789687 12.38749808
29.1 5.5191100526 12.38749808
31.7 5.76550163508 12.38749808
34.2 5.98406985278 12.38749808
36.8 6.19444633502 12.38749808
39.3 6.38219231091 12.38749808
41.9 6.56391029684 12.38749808
44.5 6.73322060952 12.38749808
47.0 6.88546341387 12.38749808
49.6 7.0338583995 12.38749808
52.2 7.17305138434 12.38749808
54.7 7.29898663356 12.38749808
57.3 7.42245050607 12.38749808
59.9 7.53890223525 12.38749808
62.4 7.64480362473 12.38749808
65.0 7.74912980039 12.38749808
67.5 7.84428395106 12.38749808
70.0 7.93475795313 12.38749808
72.5 8.02088880798 12.38749808
75.0 8.10298192026 12.38749808
77.5 8.18131471623 12.38749808
80.0 8.25613977588 12.38749808
85.0 8.39616874884 12.38749808
90.0 8.52468759459 12.38749808
95.0 8.6430594565 12.38749808
100.0 8.75244040328 12.38749808
105.0 8.85381731113 12.38749808
110.0 8.94803772321 12.38749808
120.0 9.11784037817 12.38749808
130.0 9.26663528765 12.38749808
140.0 9.39809391081 12.38749808
150.0 9.51507926997 12.38749808
