pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.743612509549 24.3396535992
0.333 1.42965680871 24.3396535992
0.5 2.07196345024 24.3396535992
0.667 2.67108817071 24.3396535992
0.833 3.22799822149 24.3396535992
1.0 3.75306864638 24.3396535992
1.17 4.25464779574 24.3396535992
1.33 4.69905706193 24.3396535992
1.5 5.14438113149 24.3396535992
1.67 5.56434786782 24.3396535992
1.83 5.9383359387 24.3396535992
2.0 6.31488755179 24.3396535992
2.17 6.67165453477 24.3396535992
2.33 6.9907248328 24.3396535992
2.5 7.31328752885 24.3396535992
2.67 7.62011785409 24.3396535992
2.83 7.89553556244 24.3396535992
3.0 8.17494026107 24.3396535992
3.17 8.44162955055 24.3396535992
3.33 8.68177683906 24.3396535992
3.5 8.92613971888 24.3396535992
3.67 9.16007947196 24.3396535992
3.83 9.3713220909 24.3396535992
4.0 9.58684478601 24.3396535992
6.0 11.5882698947 24.3396535992
8.57 13.246946535 24.3396535992
11.1 14.3390918931 24.3396535992
13.7 15.1416001623 24.3396535992
16.3 15.7415439616 24.3396535992
18.8 16.1910581524 24.3396535992
21.4 16.5657854072 24.3396535992
24.0 16.8716607654 24.3396535992
26.5 17.1170731794 24.3396535992
29.1 17.3333312487 24.3396535992
31.7 17.518352962 24.3396535992
34.2 17.6726924032 24.3396535992
36.8 17.8132882624 24.3396535992
39.3 17.93266366 24.3396535992
41.9 18.0431094724 24.3396535992
44.5 18.1417867246 24.3396535992
47.0 18.2272361822 24.3396535992
49.6 18.3076951765 24.3396535992
52.2 18.3807492342 24.3396535992
54.7 18.444921666 24.3396535992
57.3 18.5061355938 24.3396535992
59.9 18.5623914661 24.3396535992
62.4 18.6123477327 24.3396535992
65.0 18.6604788158 24.3396535992
