pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0605032818149 12.3874980791
0.333 0.120149253073 12.3874980791
0.5 0.179662669252 12.3874980791
0.667 0.238688787389 12.3874980791
0.833 0.296884421408 12.3874980791
1.0 0.354956558384 12.3874980791
1.17 0.413589470071 12.3874980791
1.33 0.468334090469 12.3874980791
1.5 0.526039103868 12.3874980791
1.67 0.583274681418 12.3874980791
1.83 0.636719743733 12.3874980791
2.0 0.69306026731 12.3874980791
2.17 0.748947873712 12.3874980791
2.33 0.801139109117 12.3874980791
2.5 0.856162973864 12.3874980791
2.67 0.910749674094 12.3874980791
2.83 0.961730692963 12.3874980791
3.0 1.01548352015 12.3874980791
3.17 1.06881421336 12.3874980791
3.33 1.1186266268 12.3874980791
3.5 1.17115195413 12.3874980791
3.67 1.22326949679 12.3874980791
3.83 1.27195302992 12.3874980791
4.0 1.32329242912 12.3874980791
6.0 1.89886938556 12.3874980791
8.57 2.56907205391 12.3874980791
11.1 3.16315519775 12.3874980791
13.7 3.71548658627 12.3874980791
16.3 4.21691566217 12.3874980791
18.8 4.65732860731 12.3874980791
21.4 5.07739009098 12.3874980791
24.0 5.46338769429 12.3874980791
26.5 5.80612805306 12.3874980791
29.1 6.13631706006 12.3874980791
31.7 6.44260072055 12.3874980791
34.2 6.71689591548 12.3874980791
36.8 6.98324999666 12.3874980791
39.3 7.22291433556 12.3874980791
41.9 7.45666763434 12.3874980791
44.5 7.67605723001 12.3874980791
47.0 7.87466027108 12.3874980791
49.6 8.06946711948 12.3874980791
52.2 8.25330181316 12.3874980791
54.7 8.42055890787 12.3874980791
57.3 8.58540042294 12.3874980791
59.9 8.7416722547 12.3874980791
62.4 8.88445897778 12.3874980791
65.0 9.02575292334 12.3874980791
67.5 9.15517449519 12.3874980791
70.0 9.27871990404 12.3874980791
72.5 9.39678046203 12.3874980791
75.0 9.50971349084 12.3874980791
77.5 9.61784593393 12.3874980791
80.0 9.72147751766 12.3874980791
85.0 9.91631724086 12.3874980791
90.0 10.0961836005 12.3874980791
95.0 10.2627387743 12.3874980791
100.0 10.4174076963 12.3874980791
105.0 10.5614189264 12.3874980791
110.0 10.6958373518 12.3874980791
120.0 10.9394902998 12.3874980791
130.0 11.1544991253 12.3874980791
140.0 11.3456345565 12.3874980791
150.0 11.5166636138 12.3874980791
