pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 2.14693144602 27.92104096
0.333 3.96356025649 27.92104096
0.5 5.53815084319 27.92104096
0.667 6.90831545287 27.92104096
0.833 8.10467005433 27.92104096
1.0 9.17029752404 27.92104096
1.17 10.1362087265 27.92104096
1.33 10.952583893 27.92104096
1.5 11.7359330978 27.92104096
1.67 12.4447951721 27.92104096
1.83 13.0530232405 27.92104096
2.0 13.6446624036 27.92104096
2.17 14.1869454894 27.92104096
2.33 14.6575653367 27.92104096
2.5 15.1201443658 27.92104096
2.67 15.5483507016 27.92104096
2.83 15.9232843662 27.92104096
3.0 16.2948533987 27.92104096
3.17 16.6415322469 27.92104096
3.33 16.9472525426 27.92104096
3.5 17.252250458 27.92104096
3.67 17.5386497194 27.92104096
3.83 17.7926932635 27.92104096
4.0 18.0475316412 27.92104096
6.0 20.2226887754 27.92104096
8.57 21.7984121633 27.92104096
11.1 22.7413271948 27.92104096
13.7 23.391792726 27.92104096
16.3 23.8564684775 27.92104096
18.8 24.1932199909 27.92104096
21.4 24.4668021559 27.92104096
24.0 24.6854685737 27.92104096
26.5 24.8579749636 27.92104096
29.1 25.0078716856 27.92104096
31.7 25.1345739947 27.92104096
34.2 25.2391945045 27.92104096
36.8 25.3336632349 27.92104096
39.3 25.4132559124 27.92104096
41.9 25.4863951905 27.92104096
44.5 25.5513388205 27.92104096
47.0 25.607272617 27.92104096
49.6 25.6596837575 27.92104096
52.2 25.7070577528 27.92104096
54.7 25.7485055785 27.92104096
57.3 25.7878981694 27.92104096
59.9 25.8239764756 27.92104096
62.4 25.8559158799 27.92104096
65.0 25.8866008375 27.92104096
