pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0987306462424 15.00996987
0.333 0.195628661172 15.00996987
0.5 0.291885062324 15.00996987
0.667 0.386935497854 15.00996987
0.833 0.480243890913 15.00996987
1.0 0.572956296427 15.00996987
1.17 0.666163236841 15.00996987
1.33 0.752827861321 15.00996987
1.5 0.843803722677 15.00996987
1.67 0.933661372123 15.00996987
1.83 1.01723015425 15.00996987
2.0 1.10497520484 15.00996987
2.17 1.19166090266 15.00996987
2.33 1.27229681277 15.00996987
2.5 1.35698014907 15.00996987
2.67 1.44065893227 15.00996987
2.83 1.51851369951 15.00996987
3.0 1.60029282018 15.00996987
3.17 1.68111847199 15.00996987
3.33 1.75633353707 15.00996987
3.5 1.83535532053 15.00996987
3.67 1.91347131355 15.00996987
3.83 1.98617868625 15.00996987
4.0 2.06258027097 15.00996987
6.0 2.90045415205 15.00996987
8.57 3.83475775773 15.00996987
11.1 4.62805556516 15.00996987
13.7 5.33793516407 15.00996987
16.3 5.96053139132 15.00996987
18.8 6.491019273 15.00996987
21.4 6.98335551983 15.00996987
24.0 7.42448043374 15.00996987
26.5 7.80742861978 15.00996987
29.1 8.16882616291 15.00996987
31.7 8.49764947368 15.00996987
34.2 8.78703640389 15.00996987
36.8 9.06355441837 15.00996987
39.3 9.30866880325 15.00996987
41.9 9.54443838119 15.00996987
44.5 9.76281584822 15.00996987
47.0 9.95812282162 15.00996987
49.6 10.1475381046 15.00996987
52.2 10.3243566826 15.00996987
54.7 10.4836288354 15.00996987
57.3 10.6391294696 15.00996987
59.9 10.7852158992 15.00996987
62.4 10.9175789645 15.00996987
65.0 11.0475209842 15.00996987
67.5 11.1656494978 15.00996987
70.0 11.2776249613 15.00996987
72.5 11.3839159199 15.00996987
75.0 11.4849445244 15.00996987
77.5 11.5810921349 15.00996987
80.0 11.6727041314 15.00996987
85.0 11.8435472141 15.00996987
90.0 11.999661408 15.00996987
95.0 12.1428727317 15.00996987
100.0 12.2747173407 15.00996987
105.0 12.3964968484 15.00996987
110.0 12.5093214428 15.00996987
120.0 12.7117861992 15.00996987
130.0 12.8882925768 15.00996987
140.0 13.0435320797 15.00996987
150.0 13.1811299115 15.00996987
