pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 2.15181771702 27.9210409612
0.333 3.98024614315 27.9210409612
0.5 5.57078217896 27.9210409612
0.667 6.95916453985 27.9210409612
0.833 8.17474511032 27.9210409612
1.0 9.26011350768 27.9210409612
1.17 10.2460552029 27.9210409612
1.33 11.080949135 27.9210409612
1.5 11.8834404658 27.9210409612
1.67 12.6107858884 27.9210409612
1.83 13.2357548672 27.9210409612
2.0 13.8444611438 27.9210409612
2.17 14.4030668892 27.9210409612
2.33 14.8883798825 27.9210409612
2.5 15.3658795002 27.9210409612
2.67 15.8083211432 27.9210409612
2.83 16.1960538342 27.9210409612
3.0 16.5806157472 27.9210409612
3.17 16.9396945818 27.9210409612
3.33 17.2565723506 27.9210409612
3.5 17.5729093723 27.9210409612
3.67 17.8701456028 27.9210409612
3.83 18.133955419 27.9210409612
4.0 18.3987358322 27.9210409612
6.0 20.6646881428 27.9210409612
8.57 22.3128510871 27.9210409612
11.1 23.3018061175 27.9210409612
13.7 23.9852110397 27.9210409612
16.3 24.474008567 27.9210409612
18.8 24.8285493343 27.9210409612
21.4 25.1167746423 27.9210409612
24.0 25.3472680622 27.9210409612
26.5 25.5291820622 27.9210409612
29.1 25.687308746 27.9210409612
31.7 25.8210077162 27.9210409612
34.2 25.9314332535 27.9210409612
36.8 26.031165299 27.9210409612
39.3 26.1152083706 27.9210409612
41.9 26.1924500248 27.9210409612
44.5 26.2610466328 27.9210409612
47.0 26.3201343817 27.9210409612
49.6 26.3755073635 27.9210409612
52.2 26.4255639727 27.9210409612
54.7 26.4693630647 27.9210409612
57.3 26.510993991 27.9210409612
59.9 26.5491254398 27.9210409612
62.4 26.5828849471 27.9210409612
65.0 26.6153207303 27.9210409612
