pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0989205058994 15.0099698657
0.333 0.196216413052 15.0099698657
0.5 0.293076245046 15.0099698657
0.667 0.388926805087 15.0099698657
0.833 0.483218706756 15.0099698657
1.0 0.577103290783 15.0099698657
1.17 0.671685159523 15.0099698657
1.33 0.759805506085 15.0099698657
1.5 0.852493878018 15.0099698657
1.67 0.944228924946 15.0099698657
1.83 1.02971004382 15.0099698657
2.0 1.1196360229 15.0099698657
2.17 1.20865087016 15.0099698657
2.33 1.29160957842 15.0099698657
2.5 1.37889484097 15.0099698657
2.67 1.46530871127 15.0099698657
2.83 1.54585503227 15.0099698657
3.0 1.6306142121 15.0099698657
3.17 1.7145394614 15.0099698657
3.33 1.79277711158 15.0099698657
3.5 1.8751183022 15.0099698657
3.67 1.95666090708 15.0099698657
3.83 2.0326877415 15.0099698657
4.0 2.11271295601 15.0099698657
6.0 2.99954146686 15.0099698657
8.57 4.00877952699 15.0099698657
11.1 4.88304945958 15.0099698657
13.7 5.67928192283 15.0099698657
16.3 6.38868966512 15.0099698657
18.8 7.00149518591 15.0099698657
21.4 7.57723864487 15.0099698657
24.0 8.09892849883 15.0099698657
26.5 8.55635884793 15.0099698657
29.1 8.99197512529 15.0099698657
31.7 9.39168534707 15.0099698657
34.2 9.74613632866 15.0099698657
36.8 10.0871939864 15.0099698657
39.3 10.3914734717 15.0099698657
41.9 10.6859025116 15.0099698657
44.5 10.9601564043 15.0099698657
47.0 11.2067048987 15.0099698657
49.6 11.4469683768 15.0099698657
52.2 11.672284909 15.0099698657
54.7 11.8761005228 15.0099698657
57.3 12.0758793957 15.0099698657
59.9 12.2642782216 15.0099698657
62.4 12.4355801168 15.0099698657
65.0 12.6043076565 15.0099698657
67.5 12.7581784072 15.0099698657
70.0 12.9044608685 15.0099698657
72.5 13.0437028681 15.0099698657
75.0 13.1764007399 15.0099698657
77.5 13.3030052353 15.0099698657
80.0 13.4239266386 15.0099698657
85.0 13.650185047 15.0099698657
90.0 13.8578040258 15.0099698657
95.0 14.0489957604 15.0099698657
100.0 14.225635693 15.0099698657
105.0 14.3893242477 15.0099698657
110.0 14.5414354596 15.0099698657
120.0 14.8155143642 15.0099698657
130.0 15.0556278395 15.0099698657
140.0 15.267721278 15.0099698657
150.0 15.4564289766 15.0099698657
