pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 1.05809750848 24.12298466
0.333 1.99380737549 24.12298466
0.5 2.8367318176 24.12298466
0.667 3.59566395806 24.12298466
0.833 4.27864292479 24.12298466
1.0 4.90364501956 24.12298466
1.17 5.48425524215 24.12298466
1.33 5.98579695116 24.12298466
1.5 6.47666452019 24.12298466
1.67 6.9292089086 24.12298466
1.83 7.32400192565 24.12298466
2.0 7.71392282276 24.12298466
2.17 8.07653684637 24.12298466
2.33 8.39536298585 24.12298466
2.5 8.71255552581 24.12298466
2.67 9.00960861368 24.12298466
2.83 9.27245865665 24.12298466
3.0 9.53552524514 24.12298466
3.17 9.78331538137 24.12298466
3.33 10.0037346931 24.12298466
3.5 10.2254346049 24.12298466
3.67 10.4352731891 24.12298466
3.83 10.6227646368 24.12298466
4.0 10.8121403696 24.12298466
6.0 12.4834192334 24.12298466
8.57 13.7589949853 24.12298466
11.1 14.5501389307 24.12298466
13.7 15.1086176228 24.12298466
16.3 15.5141282301 24.12298466
18.8 15.8114861845 24.12298466
21.4 16.0552540964 24.12298466
24.0 16.2515198081 24.12298466
26.5 16.4072589737 24.12298466
29.1 16.5432392769 24.12298466
31.7 16.6586554124 24.12298466
34.2 16.7542879093 24.12298466
36.8 16.8408994203 24.12298466
39.3 16.9140634831 24.12298466
41.9 16.9814502226 24.12298466
44.5 17.0414106289 24.12298466
47.0 17.0931468425 24.12298466
49.6 17.1417041691 24.12298466
52.2 17.1856609967 24.12298466
54.7 17.2241708336 24.12298466
57.3 17.2608159395 24.12298466
59.9 17.2944163103 24.12298466
62.4 17.324192728 24.12298466
65.0 17.3528268306 24.12298466
