pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0697263296626 13.16271434
0.333 0.138224798401 13.16271434
0.5 0.206334916815 13.16271434
0.667 0.273655578397 13.16271434
0.833 0.33980424 13.16271434
1.0 0.405591141849 13.16271434
1.17 0.471790082194 13.16271434
1.33 0.533397494573 13.16271434
1.5 0.598126802941 13.16271434
1.67 0.66211805303 13.16271434
1.83 0.721682144374 13.16271434
2.0 0.784276270525 13.16271434
2.17 0.846168454384 13.16271434
2.33 0.903789220054 13.16271434
2.5 0.96435209551 13.16271434
2.67 1.02424682618 13.16271434
2.83 1.08001784167 13.16271434
3.0 1.13864676052 13.16271434
3.17 1.19663919671 13.16271434
3.33 1.25064812469 13.16271434
3.5 1.30743426512 13.16271434
3.67 1.36361361564 13.16271434
3.83 1.41594266574 13.16271434
4.0 1.47097156313 13.16271434
6.0 2.07723104742 13.16271434
8.57 2.75931503264 13.16271434
11.1 3.34353205723 13.16271434
13.7 3.87031585956 13.16271434
16.3 4.33547190758 13.16271434
18.8 4.73415128688 13.16271434
21.4 5.10610076004 13.16271434
24.0 5.44096137134 13.16271434
26.5 5.73289436775 13.16271434
29.1 6.00945757826 13.16271434
31.7 6.26199139743 13.16271434
34.2 6.48495011426 13.16271434
36.8 6.69861938836 13.16271434
39.3 6.88853583382 13.16271434
41.9 7.07166870861 13.16271434
44.5 7.24169342759 13.16271434
47.0 7.39408373643 13.16271434
49.6 7.54217362752 13.16271434
52.2 7.68067945452 13.16271434
54.7 7.80565992515 13.16271434
57.3 7.9278817887 13.16271434
59.9 8.04288544878 13.16271434
62.4 8.14723764015 13.16271434
65.0 8.24982198106 13.16271434
67.5 8.34320134046 13.16271434
70.0 8.43182366663 13.16271434
72.5 8.51604343746 13.16271434
75.0 8.59618076509 13.16271434
77.5 8.67252546203 13.16271434
80.0 8.74534054319 13.16271434
85.0 8.88131769251 13.16271434
90.0 9.00578586136 13.16271434
95.0 9.1201468888 13.16271434
100.0 9.22558383074 13.16271434
105.0 9.3231020387 13.16271434
110.0 9.41356131794 13.16271434
120.0 9.57616194503 13.16271434
130.0 9.71819957158 13.16271434
140.0 9.84334291392 13.16271434
150.0 9.95443694609 13.16271434
