pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 1.06000943422 24.122984664
0.333 2.00038013612 24.122984664
0.5 2.84990081463 24.122984664
0.667 3.61672389568 24.122984664
0.833 4.3083910753 24.122984664
1.0 4.94266558368 24.122984664
1.17 5.53302479834 24.122984664
1.33 6.04387043054 24.122984664
1.5 6.54463805416 24.122984664
1.67 7.00700718298 24.122984664
1.83 7.41091893537 24.122984664
2.0 7.8103480609 24.122984664
2.17 8.18225298259 24.122984664
2.33 8.50960582553 24.122984664
2.5 8.83561409552 24.122984664
2.67 9.14122455279 24.122984664
2.83 9.41189008387 24.122984664
3.0 9.68300773876 24.122984664
3.17 9.93859132442 24.122984664
3.33 10.1661145635 24.122984664
3.5 10.3951225882 24.122984664
3.67 10.6120289535 24.122984664
3.83 10.8059595579 24.122984664
4.0 11.0019581377 24.122984664
6.0 12.7368861142 24.122984664
8.57 14.0673600207 24.122984664
11.1 14.8953185023 24.122984664
13.7 15.4810652414 24.122984664
16.3 15.9070409751 24.122984664
18.8 16.2197625829 24.122984664
21.4 16.476350789 24.122984664
24.0 16.6830863577 24.122984664
26.5 16.8472273941 24.122984664
29.1 16.9906116207 24.122984664
31.7 17.1123617707 24.122984664
34.2 17.2132772062 24.122984664
36.8 17.3047004263 24.122984664
39.3 17.3819492089 24.122984664
41.9 17.4531144015 24.122984664
44.5 17.5164499864 24.122984664
47.0 17.5711083762 24.122984664
49.6 17.6224167063 24.122984664
52.2 17.6688708944 24.122984664
54.7 17.7095740928 24.122984664
57.3 17.7483110935 24.122984664
59.9 17.7838336133 24.122984664
62.4 17.8153166758 24.122984664
65.0 17.8455948316 24.122984664
